mark_seconds,result_score
125.84,1400
125.88,1399
125.92,1398
125.96,1397
126.00,1396
126.04,1395
126.08,1394
126.12,1393
126.16,1392
126.20,1391
126.24,1390
126.28,1389
126.32,1388
126.36,1387
126.40,1386
126.44,1385
126.48,1384
126.52,1383
126.56,1382
126.60,1381
126.64,1380
126.68,1379
126.72,1378
126.76,1377
126.80,1376
126.84,1375
126.88,1374
126.92,1373
126.96,1372
127.00,1371
127.04,1370
127.08,1369
127.12,1368
127.16,1367
127.21,1366
127.25,1365
127.29,1364
127.33,1363
127.37,1362
127.41,1361
127.45,1360
127.49,1359
127.53,1358
127.57,1357
127.61,1356
127.65,1355
127.69,1354
127.73,1353
127.77,1352
127.81,1351
127.85,1350
127.89,1349
127.93,1348
127.97,1347
128.02,1346
128.06,1345
128.10,1344
128.14,1343
128.18,1342
128.22,1341
128.26,1340
128.30,1339
128.34,1338
128.38,1337
128.42,1336
128.46,1335
128.50,1334
128.55,1333
128.59,1332
128.63,1331
128.67,1330
128.71,1329
128.75,1328
128.79,1327
128.83,1326
128.87,1325
128.91,1324
128.95,1323
129.00,1322
129.04,1321
129.08,1320
129.12,1319
129.16,1318
129.20,1317
129.24,1316
129.28,1315
129.32,1314
129.37,1313
129.41,1312
129.45,1311
129.49,1310
129.53,1309
129.57,1308
129.61,1307
129.65,1306
129.70,1305
129.74,1304
129.78,1303
129.82,1302
129.86,1301
129.90,1300
129.94,1299
129.99,1298
130.03,1297
130.07,1296
130.11,1295
130.15,1294
130.19,1293
130.23,1292
130.28,1291
130.32,1290
130.36,1289
130.40,1288
130.44,1287
130.48,1286
130.53,1285
130.57,1284
130.61,1283
130.65,1282
130.69,1281
130.73,1280
130.78,1279
130.82,1278
130.86,1277
130.90,1276
130.94,1275
130.98,1274
131.03,1273
131.07,1272
131.11,1271
131.15,1270
131.19,1269
131.24,1268
131.28,1267
131.32,1266
131.36,1265
131.40,1264
131.44,1263
131.49,1262
131.53,1261
131.57,1260
