mark_seconds,result_score
2620.00,1400
2622.00,1399
2624.00,1398
2626.00,1397
2628.00,1396
2630.00,1395
2632.00,1394
2634.00,1393
2636.00,1392
2637.00,1391
2639.00,1390
2641.00,1389
2643.00,1388
2645.00,1387
2647.00,1386
2649.00,1385
2651.00,1384
2653.00,1383
2655.00,1382
2656.00,1381
2658.00,1380
2660.00,1379
2662.00,1378
2664.00,1377
2666.00,1376
2668.00,1375
2670.00,1374
2672.00,1373
2674.00,1372
2675.00,1371
2677.00,1370
2679.00,1369
2681.00,1368
2683.00,1367
2685.00,1366
2687.00,1365
2689.00,1364
2691.00,1363
2693.00,1362
2695.00,1361
2696.00,1360
2698.00,1359
2700.00,1358
2702.00,1357
2704.00,1356
2706.00,1355
2708.00,1354
2710.00,1353
2712.00,1352
2714.00,1351
2716.00,1350
2718.00,1349
2719.00,1348
2721.00,1347
2723.00,1346
2725.00,1345
2727.00,1344
2729.00,1343
2731.00,1342
2733.00,1341
2735.00,1340
2737.00,1339
2739.00,1338
2741.00,1337
2743.00,1336
2745.00,1335
2746.00,1334
2748.00,1333
2750.00,1332
2752.00,1331
2754.00,1330
2756.00,1329
2758.00,1328
2760.00,1327
2762.00,1326
2764.00,1325
2766.00,1324
2768.00,1323
2770.00,1322
2772.00,1321
2774.00,1320
2776.00,1319
2777.00,1318
2779.00,1317
2781.00,1316
2783.00,1315
2785.00,1314
2787.00,1313
2789.00,1312
2791.00,1311
2793.00,1310
2795.00,1309
2797.00,1308
2799.00,1307
2801.00,1306
2803.00,1305
2805.00,1304
2807.00,1303
2809.00,1302
2811.00,1301
2813.00,1300
2815.00,1299
2817.00,1298
2818.00,1297
2820.00,1296
2822.00,1295
2824.00,1294
2826.00,1293
2828.00,1292
2830.00,1291
2832.00,1290
2834.00,1289
2836.00,1288
2838.00,1287
2840.00,1286
2842.00,1285
2844.00,1284
2846.00,1283
2848.00,1282
2850.00,1281
2852.00,1280
2854.00,1279
2856.00,1278
2858.00,1277
2860.00,1276
2862.00,1275
2864.00,1274
2866.00,1273
2868.00,1272
2870.00,1271
2872.00,1270
2874.00,1269
2876.00,1268
2878.00,1267
2880.00,1266
2882.00,1265
2884.00,1264
2886.00,1263
2888.00,1262
2890.00,1261
2892.00,1260
2894.00,1259
2896.00,1258
2898.00,1257
2900.00,1256
2902.00,1255
2904.00,1254
2905.00,1253
2907.00,1252
2909.00,1251
2911.00,1250
2913.00,1249
2915.00,1248
2917.00,1247
2919.00,1246
2921.00,1245
2923.00,1244
2925.00,1243
2927.00,1242
2929.00,1241
2931.00,1240
2933.00,1239
2936.00,1238
2938.00,1237
2940.00,1236
2942.00,1235
2944.00,1234
2946.00,1233
2948.00,1232
2950.00,1231
2952.00,1230
2954.00,1229
2956.00,1228
2958.00,1227
2960.00,1226
2962.00,1225
2964.00,1224
2966.00,1223
2968.00,1222
2970.00,1221
2972.00,1220
2974.00,1219
2976.00,1218
2978.00,1217
2980.00,1216
2982.00,1215
2984.00,1214
2986.00,1213
2988.00,1212
2990.00,1211
2992.00,1210
2994.00,1209
2996.00,1208
2998.00,1207
3000.00,1206
3002.00,1205
3004.00,1204
3006.00,1203
3008.00,1202
3010.00,1201
3012.00,1200
3014.00,1199
3016.00,1198
3018.00,1197
3020.00,1196
3023.00,1195
3025.00,1194
3027.00,1193
3029.00,1192
3031.00,1191
3033.00,1190
3035.00,1189
3037.00,1188
3039.00,1187
3041.00,1186
3043.00,1185
3045.00,1184
3047.00,1183
3049.00,1182
3051.00,1181
3053.00,1180
3055.00,1179
3057.00,1178
3059.00,1177
3061.00,1176
3064.00,1175
3066.00,1174
3068.00,1173
3070.00,1172
3072.00,1171
3074.00,1170
3076.00,1169
3078.00,1168
3080.00,1167
3082.00,1166
3084.00,1165
3086.00,1164
3088.00,1163
3090.00,1162
3092.00,1161
3095.00,1160
3097.00,1159
3099.00,1158
3101.00,1157
3103.00,1156
3105.00,1155
3107.00,1154
3109.00,1153
3111.00,1152
3113.00,1151
3115.00,1150
3117.00,1149
3119.00,1148
3122.00,1147
3124.00,1146
3126.00,1145
3128.00,1144
3130.00,1143
3132.00,1142
3134.00,1141
3136.00,1140
3138.00,1139
3140.00,1138
3142.00,1137
3145.00,1136
3147.00,1135
3149.00,1134
3151.00,1133
3153.00,1132
3155.00,1131
3157.00,1130
3159.00,1129
3161.00,1128
3163.00,1127
3166.00,1126
3168.00,1125
3170.00,1124
3172.00,1123
3174.00,1122
3176.00,1121
3178.00,1120
3180.00,1119
3182.00,1118
3185.00,1117
3187.00,1116
3189.00,1115
3191.00,1114
3193.00,1113
3195.00,1112
3197.00,1111
3199.00,1110
3201.00,1109
3204.00,1108
3206.00,1107
3208.00,1106
3210.00,1105
3212.00,1104
3214.00,1103
3216.00,1102
3218.00,1101
3221.00,1100
3223.00,1099
3225.00,1098
3227.00,1097
3229.00,1096
3231.00,1095
3233.00,1094
3235.00,1093
3238.00,1092
3240.00,1091
3242.00,1090
3244.00,1089
3246.00,1088
3248.00,1087
3250.00,1086
3253.00,1085
3255.00,1084
3257.00,1083
3259.00,1082
3261.00,1081
3263.00,1080
3265.00,1079
3268.00,1078
3270.00,1077
3272.00,1076
3274.00,1075
3276.00,1074
3278.00,1073
3281.00,1072
3283.00,1071
3285.00,1070
3287.00,1069
3289.00,1068
3291.00,1067
3294.00,1066
3296.00,1065
3298.00,1064
3300.00,1063
3302.00,1062
3304.00,1061
3307.00,1060
3309.00,1059
3311.00,1058
3313.00,1057
3315.00,1056
3317.00,1055
3320.00,1054
3322.00,1053
3324.00,1052
3326.00,1051
3328.00,1050
3330.00,1049
3333.00,1048
3335.00,1047
3337.00,1046
3339.00,1045
3341.00,1044
3344.00,1043
3346.00,1042
3348.00,1041
3350.00,1040
3352.00,1039
3354.00,1038
3357.00,1037
3359.00,1036
3361.00,1035
3363.00,1034
3365.00,1033
3368.00,1032
3370.00,1031
3372.00,1030
3374.00,1029
3376.00,1028
3379.00,1027
3381.00,1026
3383.00,1025
3385.00,1024
3387.00,1023
3390.00,1022
3392.00,1021
3394.00,1020
3396.00,1019
3398.00,1018
3401.00,1017
3403.00,1016
3405.00,1015
3407.00,1014
3410.00,1013
3412.00,1012
3414.00,1011
3416.00,1010
3418.00,1009
3421.00,1008
3423.00,1007
3425.00,1006
3427.00,1005
3430.00,1004
3432.00,1003
3434.00,1002
3436.00,1001
3439.00,1000
3441.00,999
3443.00,998
3445.00,997
3447.00,996
3450.00,995
3452.00,994
3454.00,993
3456.00,992
3459.00,991
3461.00,990
3463.00,989
3465.00,988
3468.00,987
3470.00,986
3472.00,985
3474.00,984
3477.00,983
3479.00,982
3481.00,981
3483.00,980
3486.00,979
3488.00,978
3490.00,977
3492.00,976
3495.00,975
3497.00,974
3499.00,973
3501.00,972
3504.00,971
3506.00,970
3508.00,969
3511.00,968
3513.00,967
3515.00,966
3517.00,965
3520.00,964
3522.00,963
3524.00,962
3526.00,961
3529.00,960
3531.00,959
3533.00,958
3536.00,957
3538.00,956
3540.00,955
3542.00,954
3545.00,953
3547.00,952
3549.00,951
3552.00,950
3554.00,949
3556.00,948
3558.00,947
3561.00,946
3563.00,945
3565.00,944
3568.00,943
3570.00,942
3572.00,941
3575.00,940
3577.00,939
3579.00,938
3581.00,937
3584.00,936
3586.00,935
3588.00,934
3591.00,933
3593.00,932
3595.00,931
3598.00,930
3600.00,929
3602.00,928
3605.00,927
3607.00,926
3609.00,925
3612.00,924
3614.00,923
3616.00,922
3618.00,921
3621.00,920
3623.00,919
3625.00,918
3628.00,917
3630.00,916
3632.00,915
3635.00,914
3637.00,913
3639.00,912
3642.00,911
3644.00,910
3647.00,909
3649.00,908
3651.00,907
3654.00,906
3656.00,905
3658.00,904
3661.00,903
3663.00,902
3665.00,901
3668.00,900
3670.00,899
3672.00,898
3675.00,897
3677.00,896
3679.00,895
3682.00,894
3684.00,893
3686.00,892
3689.00,891
3691.00,890
3694.00,889
3696.00,888
3698.00,887
3701.00,886
3703.00,885
3705.00,884
