mark_seconds,result_score
2040.00,1400
2042.00,1399
2043.00,1398
2044.00,1397
2046.00,1396
2047.00,1395
2048.00,1394
2049.00,1393
2051.00,1392
2052.00,1391
2053.00,1390
2054.00,1389
2056.00,1388
2057.00,1387
2058.00,1386
2059.00,1385
2061.00,1384
2062.00,1383
2063.00,1382
2064.00,1381
2066.00,1380
2067.00,1379
2068.00,1378
2069.00,1377
2071.00,1376
2072.00,1375
2073.00,1374
2074.00,1373
2076.00,1372
2077.00,1371
2078.00,1370
2080.00,1369
2081.00,1368
2082.00,1367
2083.00,1366
2085.00,1365
2086.00,1364
2087.00,1363
2088.00,1362
2090.00,1361
2091.00,1360
2092.00,1359
2094.00,1358
2095.00,1357
2096.00,1356
2097.00,1355
2099.00,1354
2100.00,1353
2101.00,1352
2102.00,1351
2104.00,1350
2105.00,1349
2106.00,1348
2108.00,1347
2109.00,1346
2110.00,1345
2111.00,1344
2113.00,1343
2114.00,1342
2115.00,1341
2117.00,1340
2118.00,1339
2119.00,1338
2120.00,1337
2122.00,1336
2123.00,1335
2124.00,1334
2125.00,1333
2127.00,1332
2128.00,1331
2129.00,1330
2131.00,1329
2132.00,1328
2133.00,1327
2134.00,1326
2136.00,1325
2137.00,1324
2138.00,1323
2140.00,1322
2141.00,1321
2142.00,1320
2144.00,1319
2145.00,1318
2146.00,1317
2147.00,1316
2149.00,1315
2150.00,1314
2151.00,1313
2153.00,1312
2154.00,1311
2155.00,1310
2156.00,1309
2158.00,1308
2159.00,1307
2160.00,1306
2162.00,1305
2163.00,1304
2164.00,1303
2166.00,1302
2167.00,1301
2168.00,1300
2169.00,1299
2171.00,1298
2172.00,1297
2173.00,1296
2175.00,1295
2176.00,1294
2177.00,1293
2179.00,1292
2180.00,1291
2181.00,1290
2182.00,1289
2184.00,1288
2185.00,1287
2186.00,1286
2188.00,1285
2189.00,1284
2190.00,1283
2192.00,1282
2193.00,1281
2194.00,1280
2196.00,1279
2197.00,1278
2198.00,1277
2199.00,1276
2201.00,1275
2202.00,1274
2203.00,1273
2205.00,1272
2206.00,1271
2207.00,1270
2209.00,1269
2210.00,1268
2211.00,1267
2213.00,1266
2214.00,1265
2215.00,1264
2217.00,1263
2218.00,1262
2219.00,1261
2221.00,1260
2222.00,1259
2223.00,1258
2225.00,1257
2226.00,1256
2227.00,1255
2229.00,1254
2230.00,1253
2231.00,1252
2232.00,1251
2234.00,1250
2235.00,1249
2236.00,1248
2238.00,1247
2239.00,1246
2240.00,1245
2242.00,1244
2243.00,1243
2244.00,1242
2246.00,1241
2247.00,1240
2248.00,1239
2250.00,1238
2251.00,1237
2252.00,1236
2254.00,1235
2255.00,1234
2256.00,1233
2258.00,1232
2259.00,1231
2260.00,1230
2262.00,1229
2263.00,1228
2264.00,1227
2266.00,1226
2267.00,1225
2268.00,1224
2270.00,1223
2271.00,1222
2272.00,1221
2274.00,1220
2275.00,1219
2277.00,1218
2278.00,1217
2279.00,1216
2281.00,1215
2282.00,1214
2283.00,1213
2285.00,1212
2286.00,1211
2287.00,1210
2289.00,1209
2290.00,1208
2291.00,1207
2293.00,1206
2294.00,1205
2295.00,1204
2297.00,1203
2298.00,1202
2299.00,1201
2301.00,1200
2302.00,1199
2304.00,1198
2305.00,1197
2306.00,1196
2308.00,1195
2309.00,1194
2310.00,1193
2312.00,1192
2313.00,1191
2314.00,1190
2316.00,1189
2317.00,1188
2318.00,1187
2320.00,1186
2321.00,1185
2323.00,1184
2324.00,1183
2325.00,1182
2327.00,1181
2328.00,1180
2329.00,1179
2331.00,1178
2332.00,1177
2333.00,1176
2335.00,1175
2336.00,1174
2338.00,1173
2339.00,1172
2340.00,1171
2342.00,1170
2343.00,1169
2344.00,1168
2346.00,1167
2347.00,1166
2349.00,1165
2350.00,1164
2351.00,1163
2353.00,1162
2354.00,1161
2355.00,1160
2357.00,1159
2358.00,1158
2360.00,1157
2361.00,1156
2362.00,1155
2364.00,1154
2365.00,1153
2366.00,1152
2368.00,1151
2369.00,1150
2371.00,1149
2372.00,1148
2373.00,1147
2375.00,1146
2376.00,1145
2378.00,1144
2379.00,1143
2380.00,1142
2382.00,1141
2383.00,1140
2384.00,1139
2386.00,1138
2387.00,1137
2389.00,1136
2390.00,1135
2391.00,1134
2393.00,1133
2394.00,1132
2396.00,1131
2397.00,1130
2398.00,1129
2400.00,1128
2401.00,1127
2403.00,1126
2404.00,1125
2405.00,1124
2407.00,1123
2408.00,1122
2410.00,1121
2411.00,1120
2412.00,1119
2414.00,1118
2415.00,1117
2417.00,1116
2418.00,1115
2419.00,1114
2421.00,1113
2422.00,1112
2424.00,1111
2425.00,1110
2426.00,1109
2428.00,1108
2429.00,1107
2431.00,1106
2432.00,1105
2433.00,1104
2435.00,1103
2436.00,1102
2438.00,1101
2439.00,1100
2441.00,1099
2442.00,1098
2443.00,1097
2445.00,1096
2446.00,1095
2448.00,1094
2449.00,1093
2450.00,1092
2452.00,1091
2453.00,1090
2455.00,1089
2456.00,1088
2458.00,1087
2459.00,1086
2460.00,1085
2462.00,1084
2463.00,1083
2465.00,1082
2466.00,1081
2468.00,1080
2469.00,1079
2470.00,1078
2472.00,1077
2473.00,1076
2475.00,1075
2476.00,1074
2478.00,1073
2479.00,1072
2480.00,1071
2482.00,1070
2483.00,1069
2485.00,1068
2486.00,1067
2488.00,1066
2489.00,1065
2490.00,1064
2492.00,1063
2493.00,1062
2495.00,1061
2496.00,1060
2498.00,1059
2499.00,1058
2501.00,1057
2502.00,1056
2503.00,1055
2505.00,1054
2506.00,1053
2508.00,1052
2509.00,1051
2511.00,1050
2512.00,1049
2514.00,1048
2515.00,1047
2516.00,1046
2518.00,1045
2519.00,1044
2521.00,1043
2522.00,1042
2524.00,1041
2525.00,1040
2527.00,1039
2528.00,1038
2529.00,1037
2531.00,1036
2532.00,1035
2534.00,1034
2535.00,1033
2537.00,1032
2538.00,1031
2540.00,1030
2541.00,1029
2543.00,1028
2544.00,1027
2546.00,1026
2547.00,1025
2548.00,1024
2550.00,1023
2551.00,1022
2553.00,1021
2554.00,1020
2556.00,1019
2557.00,1018
2559.00,1017
2560.00,1016
2562.00,1015
2563.00,1014
2565.00,1013
2566.00,1012
2568.00,1011
2569.00,1010
2571.00,1009
2572.00,1008
2573.00,1007
2575.00,1006
2576.00,1005
2578.00,1004
2579.00,1003
2581.00,1002
2582.00,1001
2584.00,1000
2585.00,999
2587.00,998
2588.00,997
2590.00,996
2591.00,995
2593.00,994
2594.00,993
2596.00,992
2597.00,991
2599.00,990
2600.00,989
2602.00,988
2603.00,987
2605.00,986
2606.00,985
2608.00,984
2609.00,983
2611.00,982
2612.00,981
2614.00,980
2615.00,979
2617.00,978
2618.00,977
2620.00,976
2621.00,975
2623.00,974
2624.00,973
2626.00,972
2627.00,971
2629.00,970
2630.00,969
2632.00,968
2633.00,967
2635.00,966
2636.00,965
2638.00,964
2639.00,963
2641.00,962
2642.00,961
2644.00,960
2645.00,959
2647.00,958
2648.00,957
2650.00,956
2651.00,955
2653.00,954
2654.00,953
2656.00,952
2657.00,951
2659.00,950
2660.00,949
2662.00,948
2664.00,947
2665.00,946
2667.00,945
2668.00,944
2670.00,943
2671.00,942
2673.00,941
2674.00,940
2676.00,939
2677.00,938
2679.00,937
2680.00,936
2682.00,935
2683.00,934
2685.00,933
2686.00,932
2688.00,931
2690.00,930
2691.00,929
2693.00,928
2694.00,927
2696.00,926
2697.00,925
2699.00,924
2700.00,923
2702.00,922
2703.00,921
2705.00,920
2706.00,919
2708.00,918
2710.00,917
2711.00,916
2713.00,915
2714.00,914
2716.00,913
2717.00,912
2719.00,911
2720.00,910
2722.00,909
2724.00,908
2725.00,907
2727.00,906
2728.00,905
2730.00,904
2731.00,903
2733.00,902
2734.00,901
2736.00,900
2738.00,899
2739.00,898
2741.00,897
2742.00,896
2744.00,895
2745.00,894
2747.00,893
2749.00,892
2750.00,891
2752.00,890
2753.00,889
2755.00,888
2756.00,887
2758.00,886
2760.00,885
2761.00,884
2763.00,883
2764.00,882
2766.00,881
2767.00,880
2769.00,879
2771.00,878
2772.00,877
2774.00,876
2775.00,875
2777.00,874
2779.00,873
2780.00,872
2782.00,871
2783.00,870
2785.00,869
2787.00,868
2788.00,867
2790.00,866
2791.00,865
2793.00,864
2794.00,863
2796.00,862
2798.00,861
2799.00,860
2801.00,859
2802.00,858
2804.00,857
2806.00,856
2807.00,855
2809.00,854
2810.00,853
2812.00,852
2814.00,851
2815.00,850
2817.00,849
2819.00,848
2820.00,847
2822.00,846
2823.00,845
2825.00,844
2827.00,843
2828.00,842
2830.00,841
2831.00,840
2833.00,839
2835.00,838
2836.00,837
2838.00,836
2840.00,835
2841.00,834
2843.00,833
2844.00,832
2846.00,831
2848.00,830
2849.00,829
2851.00,828
2853.00,827
2854.00,826
2856.00,825
2857.00,824
2859.00,823
2861.00,822
2862.00,821
2864.00,820
2866.00,819
2867.00,818
2869.00,817
2871.00,816
2872.00,815
2874.00,814
2875.00,813
2877.00,812
2879.00,811
2880.00,810
2882.00,809
2884.00,808
2885.00,807
2887.00,806
2889.00,805
2890.00,804
2892.00,803
2894.00,802
2895.00,801
2897.00,800
2899.00,799
2900.00,798
2902.00,797
2904.00,796
2905.00,795
2907.00,794
2909.00,793
2910.00,792
2912.00,791
2914.00,790
2915.00,789
2917.00,788
2919.00,787
2920.00,786
2922.00,785
2924.00,784
2925.00,783
2927.00,782
2929.00,781
2930.00,780
2932.00,779
2934.00,778
2935.00,777
2937.00,776
2939.00,775
2940.00,774
2942.00,773
2944.00,772
2945.00,771
2947.00,770
2949.00,769
2951.00,768
2952.00,767
2954.00,766
2956.00,765
2957.00,764
2959.00,763
2961.00,762
2962.00,761
2964.00,760
2966.00,759
2968.00,758
2969.00,757
2971.00,756
2973.00,755
2974.00,754
2976.00,753
2978.00,752
2979.00,751
2981.00,750
2983.00,749
2985.00,748
2986.00,747
2988.00,746
2990.00,745
2991.00,744
2993.00,743
2995.00,742
2997.00,741
2998.00,740
3000.00,739
3002.00,738
3004.00,737
3005.00,736
3007.00,735
3009.00,734
3010.00,733
3012.00,732
3014.00,731
3016.00,730
3017.00,729
3019.00,728
3021.00,727
3023.00,726
3024.00,725
3026.00,724
3028.00,723
3030.00,722
3031.00,721
3033.00,720
3035.00,719
3037.00,718
3038.00,717
3040.00,716
3042.00,715
3044.00,714
3045.00,713
3047.00,712
3049.00,711
3051.00,710
3052.00,709
3054.00,708
3056.00,707
3058.00,706
3059.00,705
3061.00,704
3063.00,703
3065.00,702
3066.00,701
3068.00,700
3070.00,699
3072.00,698
3074.00,697
3075.00,696
3077.00,695
3079.00,694
3081.00,693
3082.00,692
3084.00,691
3086.00,690
3088.00,689
3090.00,688
3091.00,687
3093.00,686
3095.00,685
3097.00,684
3099.00,683
3100.00,682
3102.00,681
3104.00,680
3106.00,679
3108.00,678
3109.00,677
3111.00,676
3113.00,675
3115.00,674
3117.00,673
3118.00,672
3120.00,671
3122.00,670
3124.00,669
3126.00,668
3127.00,667
3129.00,666
3131.00,665
3133.00,664
3135.00,663
3137.00,662
3138.00,661
3140.00,660
3142.00,659
3144.00,658
3146.00,657
3148.00,656
3149.00,655
3151.00,654
3153.00,653
3155.00,652
3157.00,651
3159.00,650
3160.00,649
3162.00,648
3164.00,647
3166.00,646
3168.00,645
3170.00,644
3171.00,643
3173.00,642
3175.00,641
3177.00,640
3179.00,639
3181.00,638
3183.00,637
3184.00,636
3186.00,635
3188.00,634
3190.00,633
3192.00,632
3194.00,631
3196.00,630
3197.00,629
3199.00,628
3201.00,627
3203.00,626
3205.00,625
3207.00,624
3209.00,623
3211.00,622
3212.00,621
3214.00,620
3216.00,619
3218.00,618
3220.00,617
3222.00,616
3224.00,615
3226.00,614
3228.00,613
3229.00,612
3231.00,611
3233.00,610
3235.00,609
3237.00,608
3239.00,607
3241.00,606
3243.00,605
3245.00,604
3247.00,603
3248.00,602
3250.00,601
3252.00,600
3254.00,599
3256.00,598
3258.00,597
3260.00,596
3262.00,595
3264.00,594
3266.00,593
3268.00,592
3270.00,591
3272.00,590
3273.00,589
3275.00,588
3277.00,587
3279.00,586
3281.00,585
3283.00,584
3285.00,583
3287.00,582
3289.00,581
3291.00,580
3293.00,579
3295.00,578
3297.00,577
3299.00,576
3301.00,575
3303.00,574
3305.00,573
3307.00,572
3309.00,571
3310.00,570
3312.00,569
3314.00,568
3316.00,567
3318.00,566
3320.00,565
3322.00,564
3324.00,563
3326.00,562
3328.00,561
3330.00,560
3332.00,559
3334.00,558
3336.00,557
3338.00,556
3340.00,555
3342.00,554
3344.00,553
3346.00,552
3348.00,551
3350.00,550
3352.00,549
3354.00,548
3356.00,547
3358.00,546
3360.00,545
3362.00,544
3364.00,543
3366.00,542
3368.00,541
3370.00,540
3372.00,539
3374.00,538
3376.00,537
3378.00,536
3380.00,535
3382.00,534
3384.00,533
3386.00,532
3388.00,531
3390.00,530
3393.00,529
3395.00,528
3397.00,527
3399.00,526
3401.00,525
3403.00,524
3405.00,523
3407.00,522
3409.00,521
3411.00,520
3413.00,519
3415.00,518
3417.00,517
3419.00,516
3421.00,515
3423.00,514
3425.00,513
3427.00,512
3430.00,511
3432.00,510
3434.00,509
3436.00,508
3438.00,507
3440.00,506
3442.00,505
3444.00,504
3446.00,503
3448.00,502
3450.00,501
3452.00,500
3455.00,499
3457.00,498
3459.00,497
3461.00,496
3463.00,495
3465.00,494
3467.00,493
3469.00,492
3471.00,491
3474.00,490
3476.00,489
3478.00,488
3480.00,487
3482.00,486
3484.00,485
3486.00,484
3488.00,483
3491.00,482
3493.00,481
3495.00,480
3497.00,479
3499.00,478
3501.00,477
3503.00,476
3506.00,475
3508.00,474
3510.00,473
3512.00,472
3514.00,471
3516.00,470
3519.00,469
3521.00,468
3523.00,467
3525.00,466
3527.00,465
3529.00,464
3532.00,463
3534.00,462
3536.00,461
3538.00,460
3540.00,459
3542.00,458
3545.00,457
3547.00,456
3549.00,455
3551.00,454
3553.00,453
3556.00,452
3558.00,451
3560.00,450
3562.00,449
3565.00,448
3567.00,447
3569.00,446
3571.00,445
3573.00,444
3576.00,443
3578.00,442
3580.00,441
3582.00,440
3585.00,439
3587.00,438
3589.00,437
3591.00,436
3594.00,435
3596.00,434
3598.00,433
3600.00,432
3603.00,431
3605.00,430
3607.00,429
3609.00,428
3612.00,427
3614.00,426
3616.00,425
3618.00,424
3621.00,423
3623.00,422
3625.00,421
3628.00,420
3630.00,419
3632.00,418
3634.00,417
3637.00,416
3639.00,415
3641.00,414
3644.00,413
3646.00,412
3648.00,411
3651.00,410
3653.00,409
3655.00,408
3658.00,407
3660.00,406
3662.00,405
3665.00,404
3667.00,403
3669.00,402
3672.00,401
3674.00,400
3676.00,399
3679.00,398
3681.00,397
3683.00,396
3686.00,395
3688.00,394
3690.00,393
3693.00,392
3695.00,391
3697.00,390
3700.00,389
3702.00,388
3705.00,387
3707.00,386
3709.00,385
3712.00,384
3714.00,383
3717.00,382
3719.00,381
3721.00,380
3724.00,379
3726.00,378
3729.00,377
3731.00,376
3733.00,375
3736.00,374
3738.00,373
3741.00,372
3743.00,371
3746.00,370
3748.00,369
3750.00,368
3753.00,367
3755.00,366
3758.00,365
3760.00,364
3763.00,363
3765.00,362
3768.00,361
3770.00,360
3773.00,359
3775.00,358
3778.00,357
3780.00,356
3783.00,355
3785.00,354
3787.00,353
3790.00,352
3792.00,351
3795.00,350
3798.00,349
3800.00,348
3803.00,347
3805.00,346
3808.00,345
3810.00,344
3813.00,343
3815.00,342
3818.00,341
3820.00,340
3823.00,339
3825.00,338
3828.00,337
3830.00,336
3833.00,335
3836.00,334
3838.00,333
3841.00,332
3843.00,331
3846.00,330
3848.00,329
3851.00,328
3854.00,327
3856.00,326
3859.00,325
3861.00,324
3864.00,323
3867.00,322
3869.00,321
3872.00,320
3874.00,319
3877.00,318
3880.00,317
3882.00,316
3885.00,315
3888.00,314
3890.00,313
3893.00,312
3896.00,311
3898.00,310
3901.00,309
3904.00,308
3906.00,307
3909.00,306
3912.00,305
3914.00,304
3917.00,303
3920.00,302
3922.00,301
3925.00,300
3928.00,299
3931.00,298
3933.00,297
3936.00,296
3939.00,295
3941.00,294
3944.00,293
3947.00,292
3950.00,291
3952.00,290
3955.00,289
3958.00,288
3961.00,287
3964.00,286
3966.00,285
3969.00,284
3972.00,283
3975.00,282
3977.00,281
3980.00,280
3983.00,279
3986.00,278
3989.00,277
3991.00,276
3994.00,275
3997.00,274
4000.00,273
4003.00,272
4006.00,271
4009.00,270
4011.00,269
4014.00,268
4017.00,267
4020.00,266
4023.00,265
4026.00,264
4029.00,263
4032.00,262
4034.00,261
4037.00,260
4040.00,259
4043.00,258
4046.00,257
4049.00,256
4052.00,255
4055.00,254
4058.00,253
4061.00,252
4064.00,251
4067.00,250
4070.00,249
4073.00,248
4076.00,247
4079.00,246
4082.00,245
4085.00,244
4088.00,243
4091.00,242
4094.00,241
4097.00,240
4100.00,239
4103.00,238
4106.00,237
4109.00,236
4112.00,235
4115.00,234
4118.00,233
4121.00,232
4124.00,231
4127.00,230
4130.00,229
4133.00,228
4137.00,227
4140.00,226
4143.00,225
4146.00,224
4149.00,223
4152.00,222
4155.00,221
4158.00,220
4162.00,219
4165.00,218
4168.00,217
4171.00,216
4174.00,215
4178.00,214
4181.00,213
4184.00,212
4187.00,211
4190.00,210
4194.00,209
4197.00,208
4200.00,207
4203.00,206
4207.00,205
4210.00,204
4213.00,203
4217.00,202
4220.00,201
4223.00,200
4227.00,199
4230.00,198
4233.00,197
4237.00,196
4240.00,195
4243.00,194
4247.00,193
4250.00,192
4253.00,191
4257.00,190
4260.00,189
4264.00,188
4267.00,187
4270.00,186
4274.00,185
4277.00,184
4281.00,183
4284.00,182
4288.00,181
4291.00,180
4295.00,179
4298.00,178
4302.00,177
4305.00,176
4309.00,175
4312.00,174
4316.00,173
4320.00,172
4323.00,171
4327.00,170
4330.00,169
4334.00,168
4338.00,167
4341.00,166
4345.00,165
4349.00,164
4352.00,163
4356.00,162
4360.00,161
4363.00,160
4367.00,159
4371.00,158
4374.00,157
4378.00,156
4382.00,155
4386.00,154
4389.00,153
4393.00,152
4397.00,151
4401.00,150
4405.00,149
4409.00,148
4412.00,147
4416.00,146
4420.00,145
4424.00,144
4428.00,143
4432.00,142
4436.00,141
4440.00,140
4444.00,139
4448.00,138
4452.00,137
4456.00,136
4460.00,135
4464.00,134
4468.00,133
4472.00,132
4476.00,131
4480.00,130
4484.00,129
4488.00,128
4493.00,127
4497.00,126
4501.00,125
4505.00,124
4509.00,123
4514.00,122
4518.00,121
4522.00,120
4526.00,119
4531.00,118
4535.00,117
4539.00,116
4544.00,115
4548.00,114
4553.00,113
4557.00,112
4561.00,111
4566.00,110
4570.00,109
4575.00,108
4579.00,107
4584.00,106
4589.00,105
4593.00,104
4598.00,103
4602.00,102
4607.00,101
4612.00,100
