mark_seconds,result_score
311.48,1400
311.70,1399
311.92,1398
312.15,1397
312.37,1396
312.59,1395
312.81,1394
313.03,1393
313.26,1392
313.48,1391
313.70,1390
313.92,1389
314.15,1388
314.37,1387
314.59,1386
314.81,1385
315.04,1384
315.26,1383
315.48,1382
315.71,1381
315.93,1380
316.15,1379
316.38,1378
316.60,1377
316.82,1376
317.05,1375
317.27,1374
317.49,1373
317.72,1372
317.94,1371
318.16,1370
318.39,1369
318.61,1368
318.84,1367
319.06,1366
319.29,1365
319.51,1364
319.73,1363
319.96,1362
320.18,1361
320.41,1360
320.63,1359
320.86,1358
321.08,1357
321.31,1356
321.53,1355
321.76,1354
321.98,1353
322.21,1352
322.44,1351
322.66,1350
322.89,1349
323.11,1348
323.34,1347
323.57,1346
323.79,1345
324.02,1344
324.24,1343
324.47,1342
324.70,1341
324.92,1340
325.15,1339
325.38,1338
325.60,1337
325.83,1336
326.06,1335
326.28,1334
326.51,1333
326.74,1332
326.96,1331
327.19,1330
327.42,1329
327.65,1328
327.87,1327
328.10,1326
328.33,1325
328.56,1324
328.79,1323
329.01,1322
329.24,1321
329.47,1320
329.70,1319
329.93,1318
330.16,1317
330.38,1316
330.61,1315
330.84,1314
331.07,1313
331.30,1312
331.53,1311
331.76,1310
331.99,1309
332.22,1308
332.44,1307
332.67,1306
332.90,1305
333.13,1304
333.36,1303
333.59,1302
333.82,1301
334.05,1300
334.28,1299
334.51,1298
334.74,1297
334.97,1296
335.20,1295
335.43,1294
335.66,1293
335.89,1292
336.13,1291
336.36,1290
336.59,1289
336.82,1288
337.05,1287
337.28,1286
337.51,1285
337.74,1284
337.97,1283
338.21,1282
338.44,1281
338.67,1280
338.90,1279
339.13,1278
339.37,1277
339.60,1276
339.83,1275
340.06,1274
340.29,1273
340.53,1272
340.76,1271
340.99,1270
341.22,1269
341.46,1268
341.69,1267
341.92,1266
342.16,1265
342.39,1264
342.62,1263
342.86,1262
343.09,1261
343.32,1260
343.56,1259
343.79,1258
344.02,1257
344.26,1256
344.49,1255
344.73,1254
344.96,1253
345.19,1252
345.43,1251
345.66,1250
345.90,1249
346.13,1248
346.37,1247
346.60,1246
346.84,1245
347.07,1244
347.31,1243
347.54,1242
347.78,1241
348.01,1240
348.25,1239
348.48,1238
348.72,1237
348.96,1236
349.19,1235
349.43,1234
349.66,1233
349.90,1232
350.14,1231
350.37,1230
350.61,1229
350.85,1228
351.08,1227
351.32,1226
351.56,1225
351.79,1224
352.03,1223
352.27,1222
352.51,1221
352.74,1220
352.98,1219
353.22,1218
353.46,1217
353.69,1216
353.93,1215
354.17,1214
354.41,1213
354.64,1212
354.88,1211
355.12,1210
355.36,1209
355.60,1208
355.84,1207
356.08,1206
356.31,1205
356.55,1204
356.79,1203
357.03,1202
357.27,1201
357.51,1200
357.75,1199
357.99,1198
358.23,1197
358.47,1196
358.71,1195
358.95,1194
359.19,1193
359.43,1192
359.67,1191
359.91,1190
360.15,1189
360.39,1188
360.63,1187
360.87,1186
361.11,1185
361.35,1184
361.59,1183
361.83,1182
362.08,1181
362.32,1180
362.56,1179
362.80,1178
363.04,1177
363.28,1176
363.53,1175
363.77,1174
364.01,1173
364.25,1172
364.49,1171
364.74,1170
364.98,1169
365.22,1168
365.46,1167
365.71,1166
365.95,1165
366.19,1164
366.44,1163
366.68,1162
366.92,1161
367.17,1160
367.41,1159
367.65,1158
367.90,1157
368.14,1156
368.38,1155
368.63,1154
368.87,1153
369.12,1152
369.36,1151
369.61,1150
369.85,1149
370.10,1148
370.34,1147
370.58,1146
370.83,1145
371.07,1144
371.32,1143
371.57,1142
371.81,1141
372.06,1140
372.30,1139
372.55,1138
372.79,1137
373.04,1136
373.29,1135
373.53,1134
373.78,1133
374.02,1132
374.27,1131
374.52,1130
374.76,1129
375.01,1128
375.26,1127
375.51,1126
375.75,1125
376.00,1124
376.25,1123
376.49,1122
376.74,1121
376.99,1120
377.24,1119
377.49,1118
377.73,1117
377.98,1116
378.23,1115
378.48,1114
378.73,1113
378.98,1112
379.22,1111
379.47,1110
379.72,1109
379.97,1108
380.22,1107
380.47,1106
380.72,1105
380.97,1104
381.22,1103
381.47,1102
381.72,1101
381.97,1100
382.22,1099
382.47,1098
382.72,1097
382.97,1096
383.22,1095
383.47,1094
383.72,1093
383.97,1092
384.22,1091
384.47,1090
384.72,1089
384.98,1088
385.23,1087
385.48,1086
385.73,1085
385.98,1084
386.23,1083
386.49,1082
386.74,1081
386.99,1080
387.24,1079
387.50,1078
387.75,1077
388.00,1076
388.25,1075
388.51,1074
388.76,1073
389.01,1072
389.27,1071
389.52,1070
389.77,1069
390.03,1068
390.28,1067
390.53,1066
390.79,1065
391.04,1064
391.30,1063
391.55,1062
391.81,1061
392.06,1060
392.32,1059
392.57,1058
392.83,1057
393.08,1056
393.34,1055
393.59,1054
393.85,1053
394.10,1052
394.36,1051
394.61,1050
394.87,1049
395.13,1048
395.38,1047
395.64,1046
395.89,1045
396.15,1044
