mark_seconds,result_score
3272.00,1400
3274.00,1399
3276.00,1398
3279.00,1397
3281.00,1396
3284.00,1395
3286.00,1394
3289.00,1393
3291.00,1392
3294.00,1391
3296.00,1390
3299.00,1389
3301.00,1388
3304.00,1387
3306.00,1386
3309.00,1385
3311.00,1384
3313.00,1383
3316.00,1382
3318.00,1381
3321.00,1380
3323.00,1379
3326.00,1378
3328.00,1377
3331.00,1376
3333.00,1375
3336.00,1374
3338.00,1373
3341.00,1372
3343.00,1371
3346.00,1370
3348.00,1369
3351.00,1368
3353.00,1367
3356.00,1366
3358.00,1365
3361.00,1364
3363.00,1363
3366.00,1362
3368.00,1361
3371.00,1360
3373.00,1359
3376.00,1358
3378.00,1357
3381.00,1356
3383.00,1355
3386.00,1354
3388.00,1353
3391.00,1352
3393.00,1351
3396.00,1350
3398.00,1349
3401.00,1348
3403.00,1347
3406.00,1346
3408.00,1345
3411.00,1344
3413.00,1343
3416.00,1342
3418.00,1341
3421.00,1340
3423.00,1339
3426.00,1338
3428.00,1337
3431.00,1336
3433.00,1335
3436.00,1334
3438.00,1333
3441.00,1332
3443.00,1331
3446.00,1330
3448.00,1329
3451.00,1328
3453.00,1327
3456.00,1326
3458.00,1325
3461.00,1324
3463.00,1323
3466.00,1322
3469.00,1321
3471.00,1320
3474.00,1319
3476.00,1318
3479.00,1317
3481.00,1316
3484.00,1315
3486.00,1314
3489.00,1313
3491.00,1312
3494.00,1311
3496.00,1310
3499.00,1309
3502.00,1308
3504.00,1307
3507.00,1306
3509.00,1305
3512.00,1304
3514.00,1303
3517.00,1302
3519.00,1301
3522.00,1300
3524.00,1299
3527.00,1298
3530.00,1297
3532.00,1296
3535.00,1295
3537.00,1294
3540.00,1293
3542.00,1292
3545.00,1291
3547.00,1290
3550.00,1289
3553.00,1288
3555.00,1287
3558.00,1286
3560.00,1285
3563.00,1284
3565.00,1283
3568.00,1282
3571.00,1281
3573.00,1280
3576.00,1279
3578.00,1278
3581.00,1277
3583.00,1276
3586.00,1275
3589.00,1274
3591.00,1273
3594.00,1272
3596.00,1271
3599.00,1270
3601.00,1269
3604.00,1268
3607.00,1267
3609.00,1266
3612.00,1265
3614.00,1264
3617.00,1263
3620.00,1262
3622.00,1261
3625.00,1260
3627.00,1259
3630.00,1258
3632.00,1257
3635.00,1256
3638.00,1255
3640.00,1254
3643.00,1253
3645.00,1252
3648.00,1251
3651.00,1250
3653.00,1249
3656.00,1248
3658.00,1247
3661.00,1246
3664.00,1245
3666.00,1244
3669.00,1243
3672.00,1242
3674.00,1241
3677.00,1240
3679.00,1239
3682.00,1238
3685.00,1237
3687.00,1236
3690.00,1235
3692.00,1234
3695.00,1233
3698.00,1232
3700.00,1231
3703.00,1230
