mark_seconds,result_score
6589.02,1400
6593.49,1399
6597.96,1398
6602.44,1397
6606.92,1396
6611.39,1395
6615.88,1394
6620.36,1393
6624.84,1392
6629.33,1391
6633.81,1390
6638.30,1389
6642.79,1388
6647.28,1387
6651.78,1386
6656.27,1385
6660.77,1384
6665.27,1383
6669.77,1382
6674.27,1381
6678.77,1380
6683.28,1379
6687.78,1378
6692.29,1377
6696.80,1376
6701.31,1375
6705.83,1374
6710.34,1373
6714.86,1372
6719.38,1371
6723.90,1370
6728.42,1369
6732.94,1368
6737.46,1367
6741.99,1366
6746.52,1365
6751.05,1364
6755.58,1363
6760.11,1362
6764.65,1361
6769.18,1360
6773.72,1359
6778.26,1358
6782.80,1357
6787.34,1356
6791.89,1355
6796.44,1354
6800.98,1353
6805.53,1352
6810.08,1351
6814.64,1350
6819.19,1349
6823.75,1348
6828.31,1347
6832.87,1346
6837.43,1345
6841.99,1344
6846.56,1343
6851.12,1342
6855.69,1341
6860.26,1340
6864.83,1339
6869.41,1338
6873.98,1337
6878.56,1336
6883.14,1335
6887.72,1334
6892.30,1333
6896.88,1332
6901.47,1331
6906.05,1330
6910.64,1329
6915.23,1328
6919.83,1327
6924.42,1326
6929.02,1325
6933.61,1324
6938.21,1323
6942.81,1322
6947.42,1321
6952.02,1320
6956.63,1319
6961.23,1318
6965.84,1317
6970.46,1316
6975.07,1315
6979.68,1314
6984.30,1313
6988.92,1312
6993.54,1311
6998.16,1310
7002.78,1309
7007.41,1308
7012.04,1307
7016.67,1306
7021.30,1305
7025.93,1304
7030.56,1303
7035.20,1302
7039.84,1301
7044.48,1300
7049.12,1299
7053.76,1298
7058.41,1297
7063.05,1296
7067.70,1295
7072.35,1294
7077.01,1293
7081.66,1292
7086.32,1291
7090.97,1290
7095.63,1289
7100.29,1288
7104.96,1287
7109.62,1286
7114.29,1285
7118.96,1284
7123.63,1283
7128.30,1282
7132.97,1281
7137.65,1280
7142.33,1279
7147.01,1278
7151.69,1277
7156.37,1276
7161.06,1275
7165.74,1274
7170.43,1273
7175.12,1272
7179.81,1271
7184.51,1270
7189.20,1269
7193.90,1268
7198.60,1267
7203.30,1266
7208.01,1265
7212.71,1264
7217.42,1263
7222.13,1262
7226.84,1261
7231.55,1260
7236.27,1259
7240.98,1258
7245.70,1257
7250.42,1256
7255.14,1255
7259.87,1254
7264.59,1253
7269.32,1252
7274.05,1251
7278.78,1250
7283.52,1249
7288.25,1248
7292.99,1247
7297.73,1246
7302.47,1245
7307.21,1244
7311.96,1243
7316.70,1242
7321.45,1241
7326.20,1240
7330.95,1239
7335.71,1238
7340.46,1237
7345.22,1236
7349.98,1235
7354.75,1234
7359.51,1233
7364.28,1232
7369.04,1231
7373.81,1230
7378.59,1229
7383.36,1228
7388.13,1227
7392.91,1226
7397.69,1225
7402.47,1224
7407.26,1223
7412.04,1222
7416.83,1221
7421.62,1220
7426.41,1219
7431.20,1218
7436.00,1217
7440.80,1216
7445.59,1215
7450.40,1214
7455.20,1213
7460.00,1212
7464.81,1211
7469.62,1210
7474.43,1209
7479.24,1208
7484.06,1207
7488.88,1206
7493.70,1205
7498.52,1204
7503.34,1203
7508.16,1202
7512.99,1201
7517.82,1200
7522.65,1199
7527.49,1198
7532.32,1197
7537.16,1196
7542.00,1195
7546.84,1194
7551.68,1193
7556.53,1192
7561.37,1191
7566.22,1190
7571.07,1189
7575.93,1188
7580.78,1187
7585.64,1186
7590.50,1185
7595.36,1184
7600.23,1183
7605.09,1182
7609.96,1181
7614.83,1180
7619.70,1179
7624.57,1178
7629.45,1177
7634.33,1176
7639.21,1175
7644.09,1174
7648.97,1173
7653.86,1172
7658.75,1171
7663.64,1170
7668.53,1169
7673.43,1168
7678.32,1167
7683.22,1166
7688.12,1165
7693.03,1164
7697.93,1163
7702.84,1162
7707.75,1161
7712.66,1160
7717.57,1159
7722.49,1158
7727.41,1157
7732.33,1156
7737.25,1155
7742.18,1154
7747.10,1153
7752.03,1152
7756.96,1151
7761.89,1150
7766.83,1149
7771.77,1148
7776.71,1147
7781.65,1146
7786.59,1145
7791.54,1144
7796.48,1143
7801.43,1142
7806.39,1141
7811.34,1140
7816.30,1139
7821.26,1138
7826.22,1137
7831.18,1136
7836.15,1135
7841.11,1134
7846.08,1133
7851.06,1132
7856.03,1131
7861.01,1130
7865.98,1129
7870.97,1128
7875.95,1127
7880.93,1126
7885.92,1125
7890.91,1124
7895.90,1123
7900.90,1122
7905.89,1121
7910.89,1120
7915.89,1119
7920.89,1118
7925.90,1117
7930.91,1116
7935.92,1115
7940.93,1114
7945.94,1113
7950.96,1112
7955.98,1111
7961.00,1110
7966.02,1109
7971.05,1108
7976.08,1107
7981.11,1106
7986.14,1105
7991.17,1104
7996.21,1103
8001.25,1102
8006.29,1101
8011.33,1100
8016.38,1099
8021.43,1098
8026.48,1097
8031.53,1096
8036.59,1095
8041.64,1094
8046.70,1093
8051.77,1092
8056.83,1091
8061.90,1090
8066.97,1089
8072.04,1088
8077.11,1087
8082.19,1086
8087.27,1085
8092.35,1084
8097.43,1083
8102.52,1082
8107.60,1081
8112.69,1080
8117.79,1079
8122.88,1078
8127.98,1077
8133.08,1076
8138.18,1075
8143.28,1074
8148.39,1073
8153.50,1072
8158.61,1071
8163.72,1070
8168.84,1069
8173.96,1068
8179.08,1067
8184.20,1066
8189.33,1065
8194.46,1064
8199.59,1063
8204.72,1062
8209.86,1061
8215.00,1060
8220.14,1059
8225.28,1058
8230.42,1057
8235.57,1056
8240.72,1055
8245.87,1054
8251.03,1053
8256.19,1052
8261.35,1051
8266.51,1050
8271.67,1049
8276.84,1048
8282.01,1047
8287.18,1046
8292.36,1045
8297.53,1044
8302.71,1043
8307.90,1042
8313.08,1041
8318.27,1040
8323.46,1039
8328.65,1038
8333.84,1037
8339.04,1036
8344.24,1035
8349.44,1034
8354.65,1033
8359.86,1032
8365.06,1031
8370.28,1030
8375.49,1029
8380.71,1028
8385.93,1027
8391.15,1026
8396.38,1025
8401.60,1024
8406.83,1023
8412.07,1022
8417.30,1021
8422.54,1020
8427.78,1019
8433.02,1018
8438.27,1017
8443.51,1016
8448.77,1015
8454.02,1014
8459.27,1013
8464.53,1012
8469.79,1011
8475.06,1010
8480.32,1009
8485.59,1008
8490.86,1007
8496.14,1006
8501.41,1005
8506.69,1004
8511.97,1003
8517.26,1002
8522.55,1001
8527.84,1000
8533.13,999
8538.42,998
8543.72,997
8549.02,996
8554.32,995
8559.63,994
8564.94,993
8570.25,992
8575.56,991
8580.88,990
8586.20,989
8591.52,988
8596.85,987
8602.17,986
8607.50,985
8612.83,984
8618.17,983
8623.51,982
8628.85,981
8634.19,980
8639.54,979
8644.89,978
8650.24,977
8655.59,976
8660.95,975
8666.31,974
8671.67,973
8677.04,972
8682.41,971
8687.78,970
8693.15,969
8698.53,968
8703.91,967
8709.29,966
8714.67,965
8720.06,964
8725.45,963
8730.84,962
8736.24,961
8741.64,960
8747.04,959
8752.45,958
8757.85,957
8763.26,956
8768.68,955
8774.09,954
8779.51,953
8784.93,952
8790.36,951
8795.78,950
8801.21,949
8806.65,948
8812.08,947
8817.52,946
8822.96,945
8828.41,944
8833.85,943
8839.30,942
8844.76,941
8850.21,940
8855.67,939
8861.13,938
8866.60,937
8872.06,936
8877.53,935
8883.01,934
8888.48,933
8893.96,932
8899.45,931
8904.93,930
8910.42,929
8915.91,928
8921.40,927
8926.90,926
8932.40,925
8937.90,924
8943.41,923
8948.92,922
8954.43,921
8959.94,920
8965.46,919
8970.98,918
8976.51,917
8982.03,916
8987.56,915
8993.10,914
8998.63,913
9004.17,912
9009.71,911
9015.26,910
9020.81,909
9026.36,908
9031.91,907
9037.47,906
9043.03,905
9048.59,904
9054.16,903
9059.73,902
9065.30,901
9070.88,900
9076.46,899
9082.04,898
9087.62,897
9093.21,896
9098.80,895
9104.40,894
9109.99,893
9115.60,892
9121.20,891
9126.81,890
9132.42,889
9138.03,888
9143.65,887
9149.27,886
9154.89,885
9160.51,884
9166.14,883
9171.78,882
9177.41,881
9183.05,880
9188.69,879
9194.34,878
