mark_seconds,result_score
574.36,1400
574.72,1399
575.09,1398
575.46,1397
575.83,1396
576.20,1395
576.57,1394
576.94,1393
577.31,1392
577.67,1391
578.04,1390
578.41,1389
578.78,1388
579.15,1387
579.52,1386
579.89,1385
580.26,1384
580.63,1383
581.00,1382
581.37,1381
581.74,1380
582.12,1379
582.49,1378
582.86,1377
583.23,1376
583.60,1375
583.97,1374
584.34,1373
584.72,1372
585.09,1371
585.46,1370
585.83,1369
586.20,1368
586.58,1367
586.95,1366
587.32,1365
587.69,1364
588.07,1363
588.44,1362
588.81,1361
589.19,1360
589.56,1359
589.93,1358
590.31,1357
590.68,1356
591.06,1355
591.43,1354
591.80,1353
592.18,1352
592.55,1351
592.93,1350
593.30,1349
593.68,1348
594.05,1347
594.43,1346
594.80,1345
595.18,1344
595.56,1343
595.93,1342
596.31,1341
596.68,1340
597.06,1339
597.44,1338
597.81,1337
598.19,1336
598.57,1335
598.94,1334
599.32,1333
599.70,1332
600.08,1331
600.45,1330
600.83,1329
601.21,1328
601.59,1327
601.96,1326
602.34,1325
602.72,1324
603.10,1323
603.48,1322
603.86,1321
604.24,1320
604.62,1319
605.00,1318
605.37,1317
605.75,1316
606.13,1315
606.51,1314
606.89,1313
607.27,1312
607.65,1311
608.03,1310
608.42,1309
608.80,1308
609.18,1307
609.56,1306
609.94,1305
610.32,1304
610.70,1303
611.08,1302
611.47,1301
611.85,1300
612.23,1299
612.61,1298
612.99,1297
613.38,1296
613.76,1295
614.14,1294
614.52,1293
614.91,1292
615.29,1291
615.67,1290
616.06,1289
616.44,1288
616.83,1287
617.21,1286
617.59,1285
617.98,1284
618.36,1283
618.75,1282
619.13,1281
619.52,1280
619.90,1279
620.29,1278
620.67,1277
621.06,1276
621.44,1275
621.83,1274
622.21,1273
622.60,1272
622.99,1271
623.37,1270
623.76,1269
624.15,1268
624.53,1267
624.92,1266
625.31,1265
625.69,1264
626.08,1263
626.47,1262
626.86,1261
627.25,1260
627.63,1259
628.02,1258
628.41,1257
628.80,1256
629.19,1255
629.58,1254
629.97,1253
630.35,1252
630.74,1251
631.13,1250
631.52,1249
631.91,1248
632.30,1247
632.69,1246
633.08,1245
633.47,1244
633.86,1243
634.25,1242
634.65,1241
635.04,1240
635.43,1239
635.82,1238
636.21,1237
636.60,1236
636.99,1235
637.39,1234
637.78,1233
638.17,1232
638.56,1231
638.96,1230
639.35,1229
639.74,1228
640.13,1227
640.53,1226
640.92,1225
641.31,1224
641.71,1223
642.10,1222
642.50,1221
642.89,1220
643.28,1219
643.68,1218
644.07,1217
644.47,1216
644.86,1215
645.26,1214
645.65,1213
646.05,1212
646.45,1211
646.84,1210
647.24,1209
647.63,1208
648.03,1207
648.43,1206
648.82,1205
649.22,1204
649.62,1203
650.01,1202
650.41,1201
650.81,1200
651.21,1199
651.60,1198
652.00,1197
652.40,1196
652.80,1195
653.20,1194
653.60,1193
654.00,1192
654.39,1191
654.79,1190
655.19,1189
655.59,1188
655.99,1187
656.39,1186
656.79,1185
657.19,1184
657.59,1183
657.99,1182
658.39,1181
658.79,1180
659.20,1179
659.60,1178
660.00,1177
660.40,1176
660.80,1175
661.20,1174
661.60,1173
662.01,1172
662.41,1171
662.81,1170
663.21,1169
663.62,1168
664.02,1167
664.42,1166
664.83,1165
665.23,1164
665.63,1163
666.04,1162
666.44,1161
666.85,1160
667.25,1159
667.66,1158
668.06,1157
668.47,1156
668.87,1155
669.28,1154
669.68,1153
670.09,1152
670.49,1151
670.90,1150
671.31,1149
671.71,1148
672.12,1147
672.53,1146
672.93,1145
673.34,1144
673.75,1143
674.15,1142
674.56,1141
674.97,1140
675.38,1139
675.79,1138
676.19,1137
676.60,1136
677.01,1135
677.42,1134
677.83,1133
678.24,1132
678.65,1131
679.06,1130
679.47,1129
679.88,1128
680.29,1127
680.70,1126
681.11,1125
681.52,1124
681.93,1123
682.34,1122
682.75,1121
683.16,1120
683.58,1119
683.99,1118
684.40,1117
684.81,1116
685.22,1115
685.64,1114
686.05,1113
686.46,1112
686.88,1111
687.29,1110
687.70,1109
688.12,1108
688.53,1107
688.94,1106
689.36,1105
689.77,1104
690.19,1103
690.60,1102
691.02,1101
691.43,1100
691.85,1099
692.26,1098
692.68,1097
693.09,1096
693.51,1095
693.93,1094
694.34,1093
694.76,1092
695.18,1091
695.59,1090
696.01,1089
696.43,1088
696.85,1087
697.26,1086
697.68,1085
698.10,1084
698.52,1083
698.94,1082
699.36,1081
699.77,1080
700.19,1079
700.61,1078
701.03,1077
701.45,1076
701.87,1075
702.29,1074
702.71,1073
703.13,1072
703.55,1071
703.98,1070
704.40,1069
704.82,1068
705.24,1067
705.66,1066
706.08,1065
706.51,1064
706.93,1063
707.35,1062
707.77,1061
708.20,1060
708.62,1059
709.04,1058
709.47,1057
709.89,1056
710.31,1055
710.74,1054
711.16,1053
711.59,1052
712.01,1051
712.44,1050
712.86,1049
713.29,1048
713.71,1047
714.14,1046
714.56,1045
714.99,1044
715.42,1043
715.84,1042
716.27,1041
716.70,1040
717.12,1039
717.55,1038
717.98,1037
718.41,1036
718.83,1035
719.26,1034
719.69,1033
720.12,1032
720.55,1031
720.98,1030
721.41,1029
721.84,1028
722.27,1027
722.70,1026
723.13,1025
723.56,1024
723.99,1023
724.42,1022
724.85,1021
725.28,1020
725.71,1019
726.14,1018
726.57,1017
727.01,1016
727.44,1015
727.87,1014
728.30,1013
728.74,1012
729.17,1011
729.60,1010
730.04,1009
730.47,1008
730.90,1007
731.34,1006
731.77,1005
732.21,1004
732.64,1003
733.08,1002
733.51,1001
733.95,1000
734.38,999
734.82,998
735.25,997
735.69,996
736.13,995
736.56,994
737.00,993
737.44,992
737.88,991
738.31,990
738.75,989
739.19,988
739.63,987
740.07,986
740.50,985
740.94,984
741.38,983
