mark_seconds,result_score
4824.00,1400
4826.00,1399
4829.00,1398
4831.00,1397
4833.00,1396
4835.00,1395
4837.00,1394
4839.00,1393
4842.00,1392
4844.00,1391
4846.00,1390
4848.00,1389
4850.00,1388
4852.00,1387
4854.00,1386
4857.00,1385
4859.00,1384
4861.00,1383
4863.00,1382
4865.00,1381
4867.00,1380
4870.00,1379
4872.00,1378
4874.00,1377
4876.00,1376
4878.00,1375
4880.00,1374
4882.00,1373
4885.00,1372
4887.00,1371
4889.00,1370
4891.00,1369
4893.00,1368
4895.00,1367
4898.00,1366
4900.00,1365
4902.00,1364
4904.00,1363
4906.00,1362
4909.00,1361
4911.00,1360
4913.00,1359
4915.00,1358
4917.00,1357
4919.00,1356
4922.00,1355
4924.00,1354
4926.00,1353
4928.00,1352
4930.00,1351
4932.00,1350
4935.00,1349
4937.00,1348
4939.00,1347
4941.00,1346
4943.00,1345
4946.00,1344
4948.00,1343
4950.00,1342
4952.00,1341
4954.00,1340
4957.00,1339
4959.00,1338
4961.00,1337
4963.00,1336
4965.00,1335
4967.00,1334
4970.00,1333
4972.00,1332
4974.00,1331
4976.00,1330
4978.00,1329
4981.00,1328
4983.00,1327
4985.00,1326
4987.00,1325
4989.00,1324
4992.00,1323
4994.00,1322
4996.00,1321
4998.00,1320
5000.00,1319
5003.00,1318
5005.00,1317
5007.00,1316
5009.00,1315
5012.00,1314
5014.00,1313
5016.00,1312
5018.00,1311
5020.00,1310
5023.00,1309
5025.00,1308
5027.00,1307
5029.00,1306
5031.00,1305
5034.00,1304
5036.00,1303
5038.00,1302
5040.00,1301
5043.00,1300
5045.00,1299
5047.00,1298
5049.00,1297
5051.00,1296
5054.00,1295
5056.00,1294
5058.00,1293
5060.00,1292
5063.00,1291
5065.00,1290
5067.00,1289
5069.00,1288
5072.00,1287
5074.00,1286
5076.00,1285
5078.00,1284
5081.00,1283
5083.00,1282
5085.00,1281
5087.00,1280
5089.00,1279
5092.00,1278
5094.00,1277
5096.00,1276
5098.00,1275
5101.00,1274
5103.00,1273
5105.00,1272
5107.00,1271
5110.00,1270
5112.00,1269
5114.00,1268
5116.00,1267
5119.00,1266
5121.00,1265
5123.00,1264
5125.00,1263
5128.00,1262
5130.00,1261
5132.00,1260
5134.00,1259
5137.00,1258
5139.00,1257
5141.00,1256
5144.00,1255
5146.00,1254
5148.00,1253
5150.00,1252
5153.00,1251
5155.00,1250
5157.00,1249
5159.00,1248
5162.00,1247
5164.00,1246
5166.00,1245
5168.00,1244
5171.00,1243
5173.00,1242
5175.00,1241
5178.00,1240
5180.00,1239
5182.00,1238
5184.00,1237
5187.00,1236
5189.00,1235
5191.00,1234
5194.00,1233
5196.00,1232
5198.00,1231
5200.00,1230
5203.00,1229
5205.00,1228
5207.00,1227
5210.00,1226
5212.00,1225
5214.00,1224
5216.00,1223
5219.00,1222
5221.00,1221
5223.00,1220
5226.00,1219
5228.00,1218
5230.00,1217
5232.00,1216
5235.00,1215
5237.00,1214
5239.00,1213
5242.00,1212
5244.00,1211
5246.00,1210
5249.00,1209
5251.00,1208
5253.00,1207
5256.00,1206
5258.00,1205
5260.00,1204
5262.00,1203
5265.00,1202
5267.00,1201
5269.00,1200
5272.00,1199
5274.00,1198
5276.00,1197
5279.00,1196
5281.00,1195
5283.00,1194
5286.00,1193
5288.00,1192
5290.00,1191
5293.00,1190
5295.00,1189
5297.00,1188
5300.00,1187
5302.00,1186
5304.00,1185
5307.00,1184
5309.00,1183
5311.00,1182
5314.00,1181
5316.00,1180
5318.00,1179
5321.00,1178
5323.00,1177
5325.00,1176
5328.00,1175
5330.00,1174
5332.00,1173
5335.00,1172
5337.00,1171
5339.00,1170
5342.00,1169
5344.00,1168
5346.00,1167
5349.00,1166
5351.00,1165
5353.00,1164
5356.00,1163
5358.00,1162
5360.00,1161
5363.00,1160
5365.00,1159
5367.00,1158
5370.00,1157
5372.00,1156
5375.00,1155
5377.00,1154
5379.00,1153
5382.00,1152
5384.00,1151
5386.00,1150
5389.00,1149
5391.00,1148
5393.00,1147
5396.00,1146
5398.00,1145
5401.00,1144
5403.00,1143
5405.00,1142
5408.00,1141
5410.00,1140
5412.00,1139
5415.00,1138
5417.00,1137
5420.00,1136
5422.00,1135
5424.00,1134
5427.00,1133
5429.00,1132
5431.00,1131
5434.00,1130
