mark_seconds,result_score
8588.42,1400
8594.44,1399
8600.46,1398
8606.48,1397
8612.51,1396
8618.54,1395
8624.57,1394
8630.60,1393
8636.63,1392
8642.67,1391
8648.71,1390
8654.75,1389
8660.79,1388
8666.84,1387
8672.89,1386
8678.94,1385
8684.99,1384
8691.04,1383
8697.10,1382
8703.16,1381
8709.22,1380
8715.28,1379
8721.35,1378
8727.41,1377
8733.48,1376
8739.56,1375
8745.63,1374
8751.71,1373
8757.78,1372
8763.87,1371
8769.95,1370
8776.03,1369
8782.12,1368
8788.21,1367
8794.30,1366
8800.40,1365
8806.49,1364
8812.59,1363
8818.69,1362
8824.79,1361
8830.90,1360
8837.01,1359
8843.12,1358
8849.23,1357
8855.34,1356
8861.46,1355
8867.58,1354
8873.70,1353
8879.82,1352
8885.95,1351
8892.07,1350
8898.20,1349
8904.34,1348
8910.47,1347
8916.61,1346
8922.75,1345
8928.89,1344
8935.03,1343
8941.18,1342
8947.33,1341
8953.48,1340
8959.63,1339
8965.79,1338
8971.94,1337
8978.10,1336
8984.26,1335
8990.43,1334
8996.60,1333
9002.76,1332
9008.94,1331
9015.11,1330
9021.29,1329
9027.46,1328
9033.64,1327
9039.83,1326
9046.01,1325
9052.20,1324
9058.39,1323
9064.58,1322
9070.78,1321
9076.97,1320
9083.17,1319
9089.37,1318
9095.58,1317
9101.78,1316
9107.99,1315
9114.20,1314
9120.42,1313
9126.63,1312
9132.85,1311
9139.07,1310
9145.30,1309
9151.52,1308
9157.75,1307
9163.98,1306
9170.21,1305
9176.45,1304
9182.68,1303
9188.92,1302
9195.16,1301
9201.41,1300
9207.66,1299
9213.90,1298
9220.16,1297
9226.41,1296
9232.67,1295
9238.93,1294
9245.19,1293
9251.45,1292
9257.72,1291
9263.99,1290
9270.26,1289
9276.53,1288
9282.81,1287
9289.08,1286
9295.36,1285
9301.65,1284
9307.93,1283
9314.22,1282
9320.51,1281
9326.81,1280
9333.10,1279
9339.40,1278
9345.70,1277
9352.00,1276
9358.31,1275
9364.61,1274
9370.93,1273
9377.24,1272
9383.55,1271
9389.87,1270
9396.19,1269
9402.51,1268
9408.84,1267
9415.17,1266
9421.50,1265
9427.83,1264
9434.16,1263
9440.50,1262
9446.84,1261
9453.19,1260
9459.53,1259
9465.88,1258
9472.23,1257
9478.58,1256
9484.94,1255
9491.29,1254
9497.65,1253
9504.02,1252
9510.38,1251
9516.75,1250
9523.12,1249
9529.49,1248
9535.87,1247
9542.25,1246
9548.63,1245
9555.01,1244
9561.40,1243
9567.79,1242
9574.18,1241
9580.57,1240
9586.97,1239
9593.37,1238
9599.77,1237
9606.17,1236
9612.58,1235
9618.99,1234
9625.40,1233
9631.81,1232
9638.23,1231
9644.65,1230
9651.07,1229
9657.50,1228
9663.93,1227
9670.36,1226
9676.79,1225
9683.22,1224
9689.66,1223
9696.10,1222
9702.54,1221
9708.99,1220
9715.44,1219
9721.89,1218
9728.34,1217
9734.80,1216
9741.26,1215
9747.72,1214
9754.19,1213
9760.65,1212
9767.12,1211
9773.59,1210
9780.07,1209
9786.55,1208
9793.03,1207
9799.51,1206
9806.00,1205
9812.49,1204
9818.98,1203
9825.47,1202
9831.97,1201
9838.47,1200
9844.97,1199
9851.47,1198
9857.98,1197
9864.49,1196
9871.00,1195
9877.52,1194
9884.04,1193
9890.56,1192
9897.08,1191
9903.61,1190
9910.14,1189
9916.67,1188
9923.20,1187
9929.74,1186
9936.28,1185
9942.83,1184
9949.37,1183
9955.92,1182
9962.47,1181
9969.02,1180
9975.58,1179
9982.14,1178
9988.70,1177
9995.27,1176
10001.84,1175
10008.41,1174
10014.98,1173
10021.56,1172
10028.14,1171
10034.72,1170
10041.30,1169
10047.89,1168
10054.48,1167
10061.08,1166
10067.67,1165
10074.27,1164
10080.87,1163
10087.48,1162
10094.08,1161
10100.70,1160
10107.31,1159
10113.92,1158
10120.54,1157
10127.17,1156
10133.79,1155
10140.42,1154
10147.05,1153
10153.68,1152
10160.32,1151
10166.96,1150
10173.60,1149
10180.24,1148
10186.89,1147
10193.54,1146
10200.19,1145
10206.85,1144
10213.51,1143
10220.17,1142
10226.84,1141
10233.51,1140
10240.18,1139
10246.85,1138
10253.53,1137
10260.21,1136
10266.89,1135
10273.58,1134
10280.26,1133
10286.96,1132
10293.65,1131
10300.35,1130
10307.05,1129
10313.75,1128
10320.46,1127
10327.17,1126
10333.88,1125
10340.59,1124
10347.31,1123
10354.03,1122
10360.76,1121
10367.49,1120
10374.22,1119
10380.95,1118
10387.69,1117
10394.43,1116
10401.17,1115
10407.91,1114
10414.66,1113
10421.41,1112
10428.17,1111
10434.92,1110
10441.69,1109
10448.45,1108
10455.22,1107
10461.99,1106
10468.76,1105
10475.53,1104
10482.31,1103
10489.09,1102
10495.88,1101
10502.67,1100
10509.46,1099
10516.25,1098
10523.05,1097
10529.85,1096
10536.66,1095
10543.46,1094
10550.27,1093
10557.08,1092
10563.90,1091
10570.72,1090
10577.54,1089
10584.37,1088
10591.20,1087
10598.03,1086
10604.86,1085
10611.70,1084
10618.54,1083
10625.39,1082
10632.23,1081
10639.08,1080
10645.94,1079
10652.80,1078
10659.66,1077
10666.52,1076
10673.39,1075
10680.26,1074
10687.13,1073
10694.01,1072
10700.88,1071
10707.77,1070
10714.65,1069
10721.54,1068
10728.43,1067
10735.33,1066
10742.23,1065
10749.13,1064
10756.04,1063
10762.94,1062
10769.86,1061
10776.77,1060
10783.69,1059
10790.61,1058
10797.54,1057
10804.46,1056
10811.39,1055
10818.33,1054
10825.27,1053
10832.21,1052
10839.15,1051
10846.10,1050
10853.05,1049
10860.01,1048
10866.96,1047
10873.93,1046
10880.89,1045
10887.86,1044
10894.83,1043
10901.80,1042
10908.78,1041
10915.76,1040
10922.75,1039
10929.73,1038
10936.73,1037
10943.72,1036
10950.72,1035
10957.72,1034
10964.72,1033
10971.73,1032
10978.74,1031
10985.76,1030
10992.78,1029
10999.80,1028
11006.82,1027
11013.85,1026
11020.88,1025
11027.92,1024
11034.96,1023
11042.00,1022
11049.05,1021
11056.10,1020
11063.15,1019
11070.20,1018
11077.26,1017
11084.33,1016
11091.39,1015
11098.46,1014
11105.54,1013
11112.61,1012
11119.69,1011
11126.78,1010
11133.87,1009
11140.96,1008
11148.05,1007
11155.15,1006
11162.25,1005
11169.36,1004
11176.47,1003
11183.58,1002
11190.69,1001
11197.81,1000
11204.94,999
11212.06,998
11219.19,997
11226.33,996
11233.46,995
11240.60,994
11247.75,993
11254.90,992
11262.05,991
11269.20,990
11276.36,989
11283.52,988
11290.69,987
11297.86,986
11305.03,985
11312.21,984
11319.39,983
11326.57,982
11333.76,981
11340.95,980
11348.15,979
11355.35,978
11362.55,977
11369.76,976
11376.97,975
11384.18,974
