mark_seconds,result_score
610.00,1400
611.00,1398
612.00,1396
613.00,1394
614.00,1391
615.00,1389
616.00,1387
617.00,1385
618.00,1382
619.00,1380
620.00,1378
621.00,1376
622.00,1373
623.00,1371
624.00,1369
625.00,1367
626.00,1364
627.00,1362
628.00,1360
629.00,1358
630.00,1355
631.00,1353
632.00,1351
633.00,1349
634.00,1346
635.00,1344
636.00,1342
637.00,1340
638.00,1337
639.00,1335
640.00,1333
641.00,1331
642.00,1329
643.00,1326
644.00,1324
645.00,1322
646.00,1320
647.00,1318
648.00,1315
649.00,1313
650.00,1311
651.00,1309
652.00,1307
653.00,1304
654.00,1302
655.00,1300
656.00,1298
657.00,1296
658.00,1293
659.00,1291
660.00,1289
661.00,1287
662.00,1285
663.00,1283
664.00,1280
665.00,1278
666.00,1276
667.00,1274
668.00,1272
669.00,1269
670.00,1267
671.00,1265
672.00,1263
673.00,1261
674.00,1259
675.00,1257
676.00,1254
677.00,1252
678.00,1250
679.00,1248
680.00,1246
681.00,1244
682.00,1241
683.00,1239
684.00,1237
685.00,1235
686.00,1233
687.00,1231
688.00,1229
689.00,1227
690.00,1224
691.00,1222
692.00,1220
693.00,1218
694.00,1216
695.00,1214
696.00,1212
697.00,1210
698.00,1207
699.00,1205
700.00,1203
701.00,1201
702.00,1199
703.00,1197
704.00,1195
705.00,1193
706.00,1191
707.00,1189
708.00,1186
709.00,1184
710.00,1182
711.00,1180
712.00,1178
713.00,1176
714.00,1174
715.00,1172
716.00,1170
717.00,1168
718.00,1166
719.00,1164
720.00,1161
721.00,1159
722.00,1157
723.00,1155
724.00,1153
725.00,1151
726.00,1149
727.00,1147
728.00,1145
729.00,1143
730.00,1141
731.00,1139
732.00,1137
733.00,1135
734.00,1133
735.00,1131
736.00,1129
737.00,1127
738.00,1124
739.00,1122
740.00,1120
741.00,1118
742.00,1116
743.00,1114
744.00,1112
745.00,1110
746.00,1108
747.00,1106
748.00,1104
749.00,1102
750.00,1100
751.00,1098
752.00,1096
753.00,1094
754.00,1092
755.00,1090
756.00,1088
757.00,1086
758.00,1084
759.00,1082
760.00,1080
761.00,1078
762.00,1076
763.00,1074
764.00,1072
765.00,1070
766.00,1068
767.00,1066
768.00,1064
769.00,1062
770.00,1060
771.00,1058
772.00,1056
773.00,1054
774.00,1052
775.00,1050
776.00,1048
777.00,1046
778.00,1044
779.00,1042
780.00,1041
781.00,1039
782.00,1037
783.00,1035
784.00,1033
785.00,1031
786.00,1029
787.00,1027
788.00,1025
789.00,1023
790.00,1021
791.00,1019
792.00,1017
793.00,1015
794.00,1013
795.00,1011
796.00,1009
797.00,1007
798.00,1006
799.00,1004
800.00,1002
801.00,1000
802.00,998
803.00,996
804.00,994
805.00,992
806.00,990
807.00,988
808.00,986
809.00,984
810.00,983
811.00,981
812.00,979
813.00,977
814.00,975
815.00,973
816.00,971
817.00,969
818.00,967
819.00,965
820.00,964
821.00,962
822.00,960
823.00,958
824.00,956
825.00,954
826.00,952
827.00,950
828.00,949
829.00,947
830.00,945
831.00,943
832.00,941
833.00,939
834.00,937
835.00,935
836.00,934
837.00,932
838.00,930
839.00,928
840.00,926
841.00,924
842.00,923
843.00,921
844.00,919
845.00,917
846.00,915
847.00,913
848.00,911
849.00,910
850.00,908
