mark_seconds,result_score
167.49,1400
167.55,1399
167.61,1398
167.67,1397
167.73,1396
167.79,1395
167.85,1394
167.91,1393
167.97,1392
168.03,1391
168.09,1390
168.15,1389
168.21,1388
168.27,1387
168.33,1386
168.39,1385
168.45,1384
168.51,1383
168.57,1382
168.63,1381
168.69,1380
168.75,1379
168.81,1378
168.87,1377
168.93,1376
168.99,1375
169.05,1374
169.11,1373
169.17,1372
169.23,1371
169.29,1370
169.35,1369
169.41,1368
169.47,1367
169.53,1366
169.59,1365
169.65,1364
169.71,1363
169.77,1362
169.83,1361
169.89,1360
169.95,1359
170.01,1358
170.07,1357
170.13,1356
170.19,1355
170.25,1354
170.31,1353
170.37,1352
170.43,1351
170.49,1350
170.55,1349
170.61,1348
170.68,1347
170.74,1346
170.80,1345
170.86,1344
170.92,1343
170.98,1342
171.04,1341
171.10,1340
171.16,1339
171.22,1338
171.28,1337
171.34,1336
171.40,1335
171.47,1334
171.53,1333
171.59,1332
171.65,1331
171.71,1330
171.77,1329
171.83,1328
171.89,1327
171.95,1326
172.01,1325
172.08,1324
172.14,1323
172.20,1322
172.26,1321
172.32,1320
172.38,1319
172.44,1318
172.50,1317
172.57,1316
172.63,1315
172.69,1314
172.75,1313
172.81,1312
172.87,1311
172.93,1310
173.00,1309
173.06,1308
173.12,1307
173.18,1306
173.24,1305
173.30,1304
173.37,1303
173.43,1302
173.49,1301
173.55,1300
173.61,1299
173.67,1298
173.74,1297
173.80,1296
173.86,1295
173.92,1294
173.98,1293
174.04,1292
174.11,1291
174.17,1290
174.23,1289
174.29,1288
174.35,1287
174.42,1286
174.48,1285
174.54,1284
174.60,1283
174.66,1282
174.73,1281
174.79,1280
174.85,1279
174.91,1278
174.98,1277
175.04,1276
175.10,1275
175.16,1274
175.22,1273
175.29,1272
175.35,1271
175.41,1270
175.47,1269
175.54,1268
175.60,1267
175.66,1266
175.72,1265
175.79,1264
175.85,1263
175.91,1262
175.98,1261
176.04,1260
176.10,1259
176.16,1258
176.23,1257
176.29,1256
176.35,1255
176.41,1254
176.48,1253
176.54,1252
176.60,1251
176.67,1250
176.73,1249
176.79,1248
176.85,1247
176.92,1246
176.98,1245
177.04,1244
177.11,1243
177.17,1242
177.23,1241
177.30,1240
177.36,1239
177.42,1238
177.49,1237
177.55,1236
177.61,1235
177.68,1234
177.74,1233
177.80,1232
177.87,1231
177.93,1230
177.99,1229
178.06,1228
178.12,1227
178.18,1226
178.25,1225
178.31,1224
178.37,1223
178.44,1222
178.50,1221
178.57,1220
178.63,1219
178.69,1218
178.76,1217
178.82,1216
178.88,1215
178.95,1214
179.01,1213
179.08,1212
179.14,1211
179.20,1210
179.27,1209
179.33,1208
179.40,1207
179.46,1206
179.52,1205
179.59,1204
179.65,1203
179.72,1202
179.78,1201
179.84,1200
179.91,1199
179.97,1198
180.04,1197
180.10,1196
180.17,1195
180.23,1194
180.29,1193
180.36,1192
180.42,1191
180.49,1190
180.55,1189
180.62,1188
180.68,1187
180.75,1186
180.81,1185
180.88,1184
180.94,1183
181.00,1182
181.07,1181
181.13,1180
181.20,1179
181.26,1178
181.33,1177
181.39,1176
181.46,1175
181.52,1174
181.59,1173
181.65,1172
181.72,1171
181.78,1170
181.85,1169
181.91,1168
181.98,1167
182.04,1166
182.11,1165
182.17,1164
182.24,1163
182.30,1162
182.37,1161
182.44,1160
182.50,1159
182.57,1158
182.63,1157
182.70,1156
182.76,1155
182.83,1154
182.89,1153
182.96,1152
183.02,1151
183.09,1150
183.16,1149
183.22,1148
183.29,1147
183.35,1146
183.42,1145
183.48,1144
183.55,1143
183.62,1142
183.68,1141
183.75,1140
183.81,1139
183.88,1138
183.95,1137
184.01,1136
184.08,1135
184.14,1134
184.21,1133
184.28,1132
184.34,1131
184.41,1130
184.47,1129
184.54,1128
184.61,1127
184.67,1126
184.74,1125
184.81,1124
184.87,1123
184.94,1122
185.01,1121
185.07,1120
185.14,1119
185.20,1118
185.27,1117
185.34,1116
185.40,1115
185.47,1114
185.54,1113
185.60,1112
185.67,1111
185.74,1110
185.80,1109
185.87,1108
185.94,1107
186.01,1106
186.07,1105
186.14,1104
186.21,1103
186.27,1102
