mark_seconds,result_score
1063.22,1400
1063.96,1399
1064.70,1398
1065.44,1397
1066.19,1396
1066.93,1395
1067.67,1394
1068.42,1393
1069.16,1392
1069.90,1391
1070.65,1390
1071.39,1389
1072.14,1388
1072.88,1387
1073.63,1386
1074.37,1385
1075.12,1384
1075.87,1383
1076.61,1382
1077.36,1381
1078.11,1380
1078.85,1379
1079.60,1378
1080.35,1377
1081.10,1376
1081.84,1375
1082.59,1374
1083.34,1373
1084.09,1372
1084.84,1371
1085.59,1370
1086.34,1369
1087.09,1368
1087.84,1367
1088.59,1366
1089.34,1365
1090.09,1364
1090.85,1363
1091.60,1362
1092.35,1361
1093.10,1360
1093.85,1359
1094.61,1358
1095.36,1357
1096.11,1356
1096.87,1355
1097.62,1354
1098.38,1353
1099.13,1352
1099.89,1351
1100.64,1350
1101.40,1349
1102.15,1348
1102.91,1347
1103.66,1346
1104.42,1345
1105.18,1344
1105.94,1343
1106.69,1342
1107.45,1341
1108.21,1340
1108.97,1339
1109.72,1338
1110.48,1337
1111.24,1336
1112.00,1335
1112.76,1334
1113.52,1333
1114.28,1332
1115.04,1331
1115.80,1330
1116.56,1329
1117.33,1328
1118.09,1327
1118.85,1326
1119.61,1325
1120.37,1324
1121.14,1323
1121.90,1322
1122.66,1321
1123.43,1320
1124.19,1319
1124.96,1318
1125.72,1317
1126.49,1316
1127.25,1315
1128.02,1314
1128.78,1313
1129.55,1312
1130.31,1311
1131.08,1310
1131.85,1309
1132.61,1308
1133.38,1307
1134.15,1306
1134.92,1305
1135.69,1304
1136.46,1303
1137.22,1302
1137.99,1301
1138.76,1300
1139.53,1299
1140.30,1298
1141.07,1297
1141.84,1296
1142.62,1295
1143.39,1294
1144.16,1293
1144.93,1292
1145.70,1291
1146.47,1290
1147.25,1289
1148.02,1288
1148.79,1287
1149.57,1286
1150.34,1285
1151.12,1284
1151.89,1283
1152.67,1282
1153.44,1281
1154.22,1280
1154.99,1279
1155.77,1278
1156.55,1277
1157.32,1276
1158.10,1275
1158.88,1274
1159.65,1273
1160.43,1272
1161.21,1271
1161.99,1270
1162.77,1269
1163.55,1268
1164.33,1267
1165.11,1266
1165.89,1265
1166.67,1264
1167.45,1263
1168.23,1262
1169.01,1261
1169.79,1260
1170.57,1259
1171.36,1258
1172.14,1257
1172.92,1256
1173.70,1255
1174.49,1254
1175.27,1253
1176.06,1252
1176.84,1251
1177.63,1250
1178.41,1249
1179.20,1248
1179.98,1247
1180.77,1246
1181.55,1245
1182.34,1244
1183.13,1243
1183.92,1242
1184.70,1241
1185.49,1240
1186.28,1239
1187.07,1238
1187.86,1237
1188.65,1236
1189.44,1235
1190.23,1234
1191.02,1233
1191.81,1232
1192.60,1231
1193.39,1230
1194.18,1229
1194.97,1228
1195.76,1227
1196.56,1226
1197.35,1225
1198.14,1224
1198.93,1223
1199.73,1222
1200.52,1221
1201.32,1220
1202.11,1219
1202.91,1218
1203.70,1217
1204.50,1216
1205.29,1215
1206.09,1214
1206.89,1213
1207.68,1212
1208.48,1211
1209.28,1210
1210.08,1209
1210.88,1208
1211.67,1207
1212.47,1206
1213.27,1205
1214.07,1204
1214.87,1203
1215.67,1202
1216.47,1201
1217.27,1200
1218.07,1199
1218.88,1198
1219.68,1197
1220.48,1196
1221.28,1195
1222.09,1194
1222.89,1193
1223.69,1192
1224.50,1191
1225.30,1190
1226.11,1189
1226.91,1188
1227.72,1187
1228.52,1186
1229.33,1185
1230.13,1184
1230.94,1183
1231.75,1182
1232.56,1181
1233.36,1180
1234.17,1179
1234.98,1178
1235.79,1177
1236.60,1176
1237.41,1175
1238.22,1174
1239.03,1173
1239.84,1172
1240.65,1171
1241.46,1170
1242.27,1169
1243.08,1168
1243.90,1167
1244.71,1166
1245.52,1165
1246.33,1164
1247.15,1163
1247.96,1162
1248.78,1161
1249.59,1160
1250.41,1159
1251.22,1158
1252.04,1157
1252.85,1156
1253.67,1155
1254.49,1154
1255.30,1153
1256.12,1152
1256.94,1151
1257.76,1150
1258.57,1149
1259.39,1148
1260.21,1147
1261.03,1146
1261.85,1145
1262.67,1144
1263.49,1143
1264.31,1142
1265.14,1141
1265.96,1140
1266.78,1139
1267.60,1138
1268.43,1137
1269.25,1136
1270.07,1135
1270.90,1134
1271.72,1133
1272.55,1132
1273.37,1131
1274.20,1130
1275.02,1129
1275.85,1128
1276.67,1127
1277.50,1126
1278.33,1125
1279.16,1124
1279.98,1123
1280.81,1122
1281.64,1121
1282.47,1120
1283.30,1119
1284.13,1118
1284.96,1117
1285.79,1116
1286.62,1115
1287.45,1114
1288.28,1113
1289.12,1112
1289.95,1111
1290.78,1110
1291.61,1109
1292.45,1108
1293.28,1107
1294.12,1106
1294.95,1105
1295.79,1104
1296.62,1103
1297.46,1102
1298.29,1101
1299.13,1100
1299.97,1099
1300.80,1098
1301.64,1097
1302.48,1096
1303.32,1095
1304.16,1094
1305.00,1093
1305.84,1092
1306.68,1091
1307.52,1090
1308.36,1089
1309.20,1088
1310.04,1087
1310.88,1086
1311.72,1085
1312.57,1084
1313.41,1083
1314.25,1082
1315.10,1081
1315.94,1080
1316.79,1079
1317.63,1078
1318.48,1077
1319.32,1076
1320.17,1075
1321.02,1074
1321.86,1073
1322.71,1072
1323.56,1071
1324.41,1070
1325.25,1069
1326.10,1068
1326.95,1067
1327.80,1066
1328.65,1065
1329.50,1064
1330.35,1063
1331.21,1062
1332.06,1061
1332.91,1060
1333.76,1059
1334.62,1058
1335.47,1057
1336.32,1056
1337.18,1055
1338.03,1054
1338.89,1053
1339.74,1052
1340.60,1051
1341.45,1050
1342.31,1049
1343.17,1048
1344.02,1047
1344.88,1046
1345.74,1045
1346.60,1044
1347.46,1043
1348.32,1042
1349.18,1041
1350.04,1040
1350.90,1039
1351.76,1038
1352.62,1037
1353.48,1036
1354.35,1035
1355.21,1034
1356.07,1033
1356.94,1032
1357.80,1031
1358.67,1030
1359.53,1029
1360.40,1028
1361.26,1027
1362.13,1026
1362.99,1025
1363.86,1024
1364.73,1023
1365.60,1022
1366.46,1021
1367.33,1020
1368.20,1019
1369.07,1018
1369.94,1017
1370.81,1016
1371.68,1015
1372.55,1014
1373.43,1013
1374.30,1012
1375.17,1011
1376.04,1010
1376.92,1009
1377.79,1008
1378.67,1007
1379.54,1006
1380.42,1005
1381.29,1004
1382.17,1003
1383.04,1002
1383.92,1001
1384.80,1000
1385.68,999
1386.55,998
1387.43,997
1388.31,996
1389.19,995
1390.07,994
1390.95,993
1391.83,992
1392.71,991
1393.60,990
1394.48,989
1395.36,988
1396.24,987
1397.13,986
1398.01,985
1398.90,984
1399.78,983
1400.67,982
1401.55,981
1402.44,980
1403.33,979
1404.21,978
1405.10,977
1405.99,976
1406.88,975
1407.77,974
1408.66,973
1409.55,972
1410.44,971
1411.33,970
1412.22,969
1413.11,968
1414.00,967
1414.89,966
1415.79,965
1416.68,964
1417.58,963
1418.47,962
1419.37,961
1420.26,960
1421.16,959
1422.05,958
1422.95,957
1423.85,956
1424.74,955
1425.64,954
1426.54,953
1427.44,952
1428.34,951
1429.24,950
1430.14,949
1431.04,948
1431.94,947
1432.85,946
1433.75,945
1434.65,944
1435.56,943
1436.46,942
1437.36,941
1438.27,940
1439.17,939
1440.08,938
1440.99,937
1441.89,936
1442.80,935
1443.71,934
1444.62,933
1445.53,932
1446.44,931
1447.34,930
1448.26,929
1449.17,928
1450.08,927
1450.99,926
1451.90,925
1452.81,924
1453.73,923
1454.64,922
1455.55,921
1456.47,920
1457.38,919
1458.30,918
1459.22,917
1460.13,916
1461.05,915
1461.97,914
1462.89,913
1463.81,912
1464.72,911
1465.64,910
1466.56,909
1467.49,908
1468.41,907
1469.33,906
1470.25,905
1471.17,904
1472.10,903
1473.02,902
1473.94,901
1474.87,900
1475.79,899
1476.72,898
1477.65,897
1478.57,896
1479.50,895
1480.43,894
1481.36,893
1482.29,892
1483.22,891
1484.15,890
1485.08,889
1486.01,888
1486.94,887
1487.87,886
1488.80,885
1489.74,884
1490.67,883
1491.60,882
1492.54,881
1493.47,880
1494.41,879
1495.35,878
1496.28,877
1497.22,876
1498.16,875
1499.10,874
1500.04,873
1500.98,872
1501.92,871
1502.86,870
1503.80,869
1504.74,868
1505.68,867
1506.62,866
1507.57,865
1508.51,864
1509.46,863
1510.40,862
1511.35,861
1512.29,860
1513.24,859
1514.19,858
1515.13,857
1516.08,856
1517.03,855
1517.98,854
1518.93,853
1519.88,852
1520.83,851
1521.78,850
1522.74,849
1523.69,848
1524.64,847
1525.60,846
1526.55,845
1527.51,844
1528.46,843
1529.42,842
1530.37,841
1531.33,840
1532.29,839
1533.25,838
1534.21,837
1535.17,836
1536.13,835
1537.09,834
1538.05,833
1539.01,832
1539.97,831
1540.93,830
1541.90,829
1542.86,828
1543.83,827
1544.79,826
1545.76,825
1546.73,824
1547.69,823
1548.66,822
1549.63,821
1550.60,820
1551.57,819
1552.54,818
1553.51,817
1554.48,816
1555.45,815
1556.42,814
1557.40,813
1558.37,812
1559.34,811
1560.32,810
1561.29,809
1562.27,808
1563.25,807
1564.22,806
1565.20,805
1566.18,804
1567.16,803
1568.14,802
1569.12,801
1570.10,800
1571.08,799
1572.06,798
1573.05,797
1574.03,796
1575.01,795
1576.00,794
1576.98,793
1577.97,792
1578.96,791
1579.94,790
1580.93,789
1581.92,788
1582.91,787
1583.90,786
1584.89,785
1585.88,784
1586.87,783
1587.86,782
1588.85,781
1589.85,780
1590.84,779
1591.84,778
1592.83,777
1593.83,776
1594.82,775
1595.82,774
1596.82,773
1597.82,772
1598.82,771
1599.82,770
1600.82,769
1601.82,768
1602.82,767
1603.82,766
1604.83,765
1605.83,764
1606.83,763
1607.84,762
1608.84,761
1609.85,760
1610.86,759
1611.86,758
1612.87,757
1613.88,756
1614.89,755
1615.90,754
1616.91,753
1617.92,752
1618.94,751
1619.95,750
1620.96,749
1621.98,748
1622.99,747
1624.01,746
1625.03,745
1626.04,744
1627.06,743
1628.08,742
1629.10,741
1630.12,740
1631.14,739
1632.16,738
1633.18,737
1634.20,736
1635.23,735
1636.25,734
1637.28,733
1638.30,732
1639.33,731
1640.35,730
1641.38,729
1642.41,728
1643.44,727
1644.47,726
1645.50,725
1646.53,724
1647.56,723
1648.59,722
1649.63,721
1650.66,720
1651.70,719
1652.73,718
1653.77,717
1654.80,716
1655.84,715
1656.88,714
1657.92,713
1658.96,712
1660.00,711
1661.04,710
1662.08,709
1663.12,708
1664.17,707
1665.21,706
1666.26,705
1667.30,704
1668.35,703
1669.40,702
1670.44,701
1671.49,700
1672.54,699
1673.59,698
1674.64,697
1675.69,696
1676.75,695
1677.80,694
1678.85,693
1679.91,692
1680.96,691
1682.02,690
1683.08,689
1684.13,688
1685.19,687
1686.25,686
1687.31,685
1688.37,684
1689.43,683
1690.50,682
1691.56,681
1692.62,680
1693.69,679
1694.75,678
1695.82,677
1696.89,676
1697.95,675
1699.02,674
1700.09,673
1701.16,672
1702.23,671
1703.30,670
1704.38,669
1705.45,668
1706.52,667
1707.60,666
1708.68,665
1709.75,664
1710.83,663
1711.91,662
1712.99,661
1714.07,660
1715.15,659
1716.23,658
1717.31,657
1718.39,656
1719.48,655
1720.56,654
1721.65,653
1722.73,652
1723.82,651
1724.91,650
1726.00,649
1727.09,648
1728.18,647
1729.27,646
1730.36,645
1731.46,644
1732.55,643
1733.65,642
1734.74,641
1735.84,640
1736.94,639
1738.03,638
1739.13,637
1740.23,636
1741.33,635
1742.44,634
1743.54,633
1744.64,632
1745.75,631
1746.85,630
1747.96,629
1749.06,628
1750.17,627
1751.28,626
1752.39,625
1753.50,624
1754.61,623
1755.72,622
1756.84,621
1757.95,620
1759.07,619
1760.18,618
1761.30,617
1762.42,616
1763.54,615
1764.66,614
1765.78,613
1766.90,612
1768.02,611
1769.14,610
1770.27,609
1771.39,608
1772.52,607
1773.64,606
1774.77,605
1775.90,604
1777.03,603
1778.16,602
1779.29,601
1780.43,600
1781.56,599
1782.69,598
1783.83,597
1784.97,596
1786.10,595
1787.24,594
1788.38,593
1789.52,592
1790.66,591
1791.80,590
1792.95,589
1794.09,588
1795.23,587
1796.38,586
1797.53,585
1798.68,584
1799.82,583
1800.97,582
1802.13,581
1803.28,580
1804.43,579
1805.58,578
1806.74,577
1807.89,576
1809.05,575
1810.21,574
1811.37,573
1812.53,572
1813.69,571
1814.85,570
1816.01,569
1817.18,568
1818.34,567
1819.51,566
1820.68,565
1821.84,564
1823.01,563
1824.18,562
1825.35,561
1826.53,560
1827.70,559
1828.87,558
1830.05,557
1831.23,556
1832.40,555
1833.58,554
1834.76,553
1835.94,552
1837.12,551
1838.31,550
1839.49,549
1840.68,548
1841.86,547
1843.05,546
1844.24,545
1845.43,544
1846.62,543
1847.81,542
1849.00,541
1850.19,540
1851.39,539
1852.58,538
1853.78,537
1854.98,536
1856.18,535
1857.38,534
1858.58,533
1859.78,532
1860.99,531
1862.19,530
1863.40,529
1864.61,528
1865.81,527
1867.02,526
1868.23,525
1869.45,524
1870.66,523
1871.87,522
1873.09,521
1874.30,520
1875.52,519
1876.74,518
1877.96,517
1879.18,516
1880.40,515
1881.63,514
1882.85,513
1884.08,512
1885.31,511
1886.53,510
1887.76,509
1888.99,508
1890.23,507
1891.46,506
1892.69,505
1893.93,504
1895.17,503
1896.40,502
1897.64,501
1898.88,500
1900.13,499
1901.37,498
1902.61,497
1903.86,496
1905.10,495
1906.35,494
1907.60,493
1908.85,492
1910.10,491
1911.36,490
1912.61,489
1913.87,488
1915.12,487
1916.38,486
1917.64,485
1918.90,484
1920.17,483
1921.43,482
1922.69,481
1923.96,480
1925.23,479
1926.50,478
1927.77,477
1929.04,476
1930.31,475
1931.58,474
1932.86,473
1934.14,472
1935.41,471
1936.69,470
1937.97,469
1939.26,468
1940.54,467
1941.82,466
1943.11,465
1944.40,464
1945.69,463
1946.98,462
1948.27,461
1949.56,460
1950.86,459
1952.15,458
1953.45,457
1954.75,456
1956.05,455
1957.35,454
1958.66,453
1959.96,452
1961.27,451
1962.57,450
1963.88,449
1965.19,448
1966.50,447
1967.82,446
1969.13,445
1970.45,444
1971.77,443
1973.09,442
1974.41,441
1975.73,440
1977.05,439
1978.38,438
1979.71,437
1981.03,436
1982.36,435
1983.69,434
1985.03,433
1986.36,432
1987.70,431
1989.04,430
1990.37,429
1991.72,428
1993.06,427
1994.40,426
1995.75,425
1997.09,424
1998.44,423
1999.79,422
2001.14,421
2002.50,420
2003.85,419
2005.21,418
2006.57,417
2007.93,416
2009.29,415
2010.65,414
2012.02,413
2013.38,412
2014.75,411
2016.12,410
2017.49,409
2018.87,408
2020.24,407
2021.62,406
2022.99,405
2024.37,404
2025.76,403
2027.14,402
2028.52,401
2029.91,400
2031.30,399
2032.69,398
2034.08,397
2035.48,396
2036.87,395
2038.27,394
2039.67,393
2041.07,392
2042.47,391
2043.88,390
2045.28,389
2046.69,388
2048.10,387
2049.51,386
2050.92,385
2052.34,384
2053.76,383
2055.18,382
2056.60,381
2058.02,380
2059.44,379
2060.87,378
2062.30,377
2063.73,376
2065.16,375
2066.60,374
2068.03,373
2069.47,372
2070.91,371
2072.35,370
2073.79,369
2075.24,368
2076.69,367
2078.14,366
2079.59,365
2081.04,364
2082.50,363
2083.96,362
2085.42,361
2086.88,360
2088.34,359
2089.81,358
2091.27,357
2092.74,356
2094.22,355
2095.69,354
2097.17,353
2098.64,352
2100.12,351
2101.61,350
2103.09,349
2104.58,348
2106.07,347
2107.56,346
2109.05,345
2110.55,344
2112.04,343
2113.54,342
2115.04,341
2116.55,340
2118.05,339
2119.56,338
2121.07,337
2122.59,336
2124.10,335
2125.62,334
2127.14,333
2128.66,332
2130.18,331
2131.71,330
2133.24,329
2134.77,328
2136.30,327
2137.84,326
2139.38,325
2140.92,324
2142.46,323
2144.01,322
2145.56,321
2147.11,320
2148.66,319
2150.21,318
2151.77,317
2153.33,316
2154.89,315
2156.46,314
2158.03,313
2159.60,312
2161.17,311
2162.74,310
2164.32,309
2165.90,308
2167.48,307
2169.07,306
2170.66,305
2172.25,304
2173.84,303
2175.44,302
2177.03,301
2178.63,300
2180.24,299
2181.84,298
2183.45,297
2185.06,296
2186.68,295
2188.30,294
2189.92,293
2191.54,292
2193.16,291
2194.79,290
2196.42,289
2198.06,288
2199.69,287
2201.33,286
2202.98,285
2204.62,284
2206.27,283
2207.92,282
2209.58,281
2211.23,280
2212.89,279
2214.56,278
2216.22,277
2217.89,276
2219.56,275
2221.24,274
2222.92,273
2224.60,272
2226.28,271
2227.97,270
2229.66,269
2231.35,268
2233.05,267
2234.75,266
2236.45,265
2238.16,264
2239.87,263
2241.58,262
2243.30,261
2245.02,260
2246.74,259
2248.47,258
2250.20,257
2251.93,256
2253.66,255
2255.40,254
2257.15,253
2258.89,252
2260.64,251
2262.40,250
2264.15,249
2265.91,248
2267.68,247
2269.45,246
2271.22,245
2272.99,244
2274.77,243
2276.55,242
2278.34,241
2280.13,240
2281.92,239
2283.72,238
2285.52,237
2287.32,236
2289.13,235
2290.94,234
2292.76,233
2294.58,232
2296.40,231
2298.23,230
2300.06,229
2301.90,228
2303.74,227
2305.58,226
2307.43,225
2309.28,224
2311.14,223
2313.00,222
2314.87,221
2316.73,220
2318.61,219
2320.49,218
2322.37,217
2324.25,216
2326.14,215
2328.04,214
2329.94,213
2331.84,212
2333.75,211
2335.66,210
2337.58,209
2339.50,208
2341.43,207
2343.36,206
2345.30,205
2347.24,204
2349.18,203
2351.13,202
2353.09,201
2355.05,200
2357.01,199
2358.98,198
2360.96,197
2362.94,196
2364.92,195
2366.91,194
2368.91,193
2370.91,192
2372.91,191
2374.92,190
2376.94,189
2378.96,188
2380.99,187
2383.02,186
2385.06,185
2387.10,184
2389.15,183
2391.20,182
2393.26,181
2395.33,180
2397.40,179
2399.48,178
2401.56,177
2403.65,176
2405.74,175
2407.84,174
2409.95,173
2412.06,172
2414.18,171
2416.31,170
2418.44,169
2420.58,168
2422.72,167
2424.87,166
2427.03,165
2429.19,164
2431.36,163
2433.54,162
2435.73,161
2437.92,160
2440.11,159
2442.32,158
2444.53,157
2446.75,156
2448.97,155
2451.21,154
2453.45,153
2455.69,152
2457.95,151
2460.21,150
2462.48,149
2464.76,148
2467.04,147
2469.34,146
2471.64,145
2473.94,144
2476.26,143
2478.59,142
2480.92,141
2483.26,140
2485.61,139
2487.97,138
2490.34,137
2492.71,136
2495.09,135
2497.49,134
2499.89,133
2502.30,132
2504.72,131
2507.15,130
2509.59,129
2512.04,128
2514.49,127
2516.96,126
2519.44,125
2521.93,124
2524.42,123
2526.93,122
2529.45,121
2531.98,120
2534.52,119
2537.07,118
2539.63,117
2542.20,116
2544.78,115
2547.37,114
2549.98,113
2552.59,112
2555.22,111
2557.86,110
2560.51,109
2563.18,108
2565.86,107
2568.54,106
2571.25,105
2573.96,104
2576.69,103
2579.43,102
2582.18,101
2584.95,100
2587.74,99
2590.53,98
2593.34,97
2596.17,96
2599.01,95
2601.86,94
2604.73,93
2607.62,92
2610.52,91
2613.44,90
2616.37,89
2619.32,88
2622.29,87
2625.27,86
2628.27,85
2631.29,84
2634.33,83
2637.38,82
2640.46,81
2643.55,80
2646.66,79
2649.80,78
2652.95,77
2656.12,76
2659.31,75
2662.53,74
2665.77,73
2669.03,72
2672.31,71
2675.61,70
2678.94,69
2682.30,68
2685.67,67
2689.08,66
2692.51,65
2695.96,64
2699.44,63
2702.95,62
2706.49,61
2710.06,60
2713.66,59
2717.29,58
2720.95,57
2724.64,56
2728.36,55
2732.12,54
2735.92,53
2739.75,52
2743.62,51
2747.52,50
2751.47,49
2755.45,48
2759.48,47
2763.55,46
2767.66,45
2771.82,44
2776.03,43
2780.29,42
2784.59,41
2788.96,40
2793.37,39
2797.84,38
2802.38,37
2806.97,36
2811.63,35
2816.35,34
2821.15,33
2826.02,32
2830.96,31
2835.99,30
2841.10,29
2846.29,28
2851.59,27
2856.98,26
2862.47,25
2868.08,24
2873.81,23
2879.66,22
2885.64,21
2891.77,20
2898.06,19
2904.51,18
2911.15,17
2917.98,16
2925.03,15
2932.32,14
2939.87,13
2947.72,12
2955.91,11
2964.48,10
2973.48,9
2983.01,8
2993.14,7
3004.04,6
3015.88,5
3028.99,4
3043.86,3
3061.50,2
3084.49,1
