mark_seconds,result_score
75.82,1400
75.86,1399
75.89,1398
75.93,1397
75.97,1396
76.00,1395
76.04,1394
76.08,1393
76.12,1392
76.15,1391
76.19,1390
76.23,1389
76.27,1388
76.30,1387
76.34,1386
76.38,1385
76.42,1384
76.45,1383
76.49,1382
76.53,1381
76.57,1380
76.60,1379
76.64,1378
76.68,1377
76.72,1376
76.75,1375
76.79,1374
76.83,1373
76.87,1372
76.90,1371
76.94,1370
76.98,1369
77.02,1368
77.05,1367
77.09,1366
77.13,1365
77.17,1364
77.20,1363
77.24,1362
77.28,1361
77.32,1360
77.36,1359
77.39,1358
77.43,1357
77.47,1356
77.51,1355
77.54,1354
77.58,1353
77.62,1352
77.66,1351
77.70,1350
77.73,1349
77.77,1348
77.81,1347
77.85,1346
77.89,1345
77.92,1344
77.96,1343
78.00,1342
78.04,1341
78.08,1340
78.11,1339
78.15,1338
78.19,1337
78.23,1336
78.27,1335
78.30,1334
78.34,1333
78.38,1332
78.42,1331
78.46,1330
78.49,1329
78.53,1328
78.57,1327
78.61,1326
78.65,1325
78.69,1324
78.72,1323
78.76,1322
78.80,1321
78.84,1320
78.88,1319
78.92,1318
78.95,1317
78.99,1316
79.03,1315
79.07,1314
79.11,1313
79.15,1312
79.18,1311
79.22,1310
79.26,1309
79.30,1308
79.34,1307
79.38,1306
79.42,1305
79.45,1304
79.49,1303
79.53,1302
79.57,1301
79.61,1300
79.65,1299
79.69,1298
79.72,1297
79.76,1296
79.80,1295
79.84,1294
79.88,1293
79.92,1292
79.96,1291
80.00,1290
80.03,1289
80.07,1288
80.11,1287
80.15,1286
80.19,1285
80.23,1284
80.27,1283
80.31,1282
80.34,1281
80.38,1280
80.42,1279
80.46,1278
80.50,1277
80.54,1276
80.58,1275
80.62,1274
80.66,1273
80.70,1272
80.73,1271
80.77,1270
80.81,1269
80.85,1268
80.89,1267
80.93,1266
80.97,1265
81.01,1264
81.05,1263
81.09,1262
81.13,1261
81.16,1260
81.20,1259
81.24,1258
81.28,1257
81.32,1256
81.36,1255
81.40,1254
81.44,1253
81.48,1252
81.52,1251
81.56,1250
81.60,1249
81.64,1248
81.68,1247
81.72,1246
81.75,1245
81.79,1244
81.83,1243
81.87,1242
81.91,1241
81.95,1240
81.99,1239
82.03,1238
82.07,1237
82.11,1236
82.15,1235
82.19,1234
82.23,1233
82.27,1232
82.31,1231
82.35,1230
82.39,1229
82.43,1228
82.47,1227
82.51,1226
82.55,1225
82.59,1224
82.63,1223
82.67,1222
82.71,1221
82.75,1220
82.79,1219
82.83,1218
82.87,1217
82.91,1216
82.95,1215
82.99,1214
83.03,1213
83.07,1212
83.11,1211
83.15,1210
83.19,1209
83.23,1208
83.27,1207
83.31,1206
83.35,1205
83.39,1204
83.43,1203
83.47,1202
83.51,1201
83.55,1200
83.59,1199
83.63,1198
83.67,1197
83.71,1196
83.75,1195
83.79,1194
83.83,1193
83.87,1192
83.91,1191
83.95,1190
83.99,1189
84.03,1188
84.07,1187
84.11,1186
84.15,1185
84.19,1184
84.23,1183
84.27,1182
84.31,1181
84.35,1180
84.39,1179
84.43,1178
84.48,1177
84.52,1176
84.56,1175
84.60,1174
84.64,1173
84.68,1172
84.72,1171
84.76,1170
84.80,1169
84.84,1168
84.88,1167
84.92,1166
84.96,1165
85.00,1164
85.04,1163
85.09,1162
85.13,1161
85.17,1160
85.21,1159
