mark_seconds,result_score
3295.00,1400
3296.00,1399
3297.00,1398
3299.00,1397
3300.00,1396
3301.00,1395
3303.00,1394
3304.00,1393
3306.00,1392
3307.00,1391
3308.00,1390
3310.00,1389
3311.00,1388
3312.00,1387
3314.00,1386
3315.00,1385
3317.00,1384
3318.00,1383
3319.00,1382
3321.00,1381
3322.00,1380
3324.00,1379
3325.00,1378
3326.00,1377
3328.00,1376
3329.00,1375
3330.00,1374
3332.00,1373
3333.00,1372
3335.00,1371
3336.00,1370
3337.00,1369
3339.00,1368
3340.00,1367
3342.00,1366
3343.00,1365
3344.00,1364
3346.00,1363
3347.00,1362
3348.00,1361
3350.00,1360
3351.00,1359
3353.00,1358
3354.00,1357
3355.00,1356
3357.00,1355
3358.00,1354
3360.00,1353
3361.00,1352
3362.00,1351
3364.00,1350
3365.00,1349
3367.00,1348
3368.00,1347
3369.00,1346
3371.00,1345
3372.00,1344
3374.00,1343
3375.00,1342
3376.00,1341
3378.00,1340
3379.00,1339
3381.00,1338
3382.00,1337
3383.00,1336
3385.00,1335
3386.00,1334
3388.00,1333
3389.00,1332
3391.00,1331
3392.00,1330
3393.00,1329
3395.00,1328
3396.00,1327
3398.00,1326
3399.00,1325
3400.00,1324
3402.00,1323
3403.00,1322
3405.00,1321
3406.00,1320
3407.00,1319
3409.00,1318
3410.00,1317
3412.00,1316
3413.00,1315
3415.00,1314
3416.00,1313
3417.00,1312
3419.00,1311
3420.00,1310
3422.00,1309
3423.00,1308
3424.00,1307
3426.00,1306
3427.00,1305
3429.00,1304
3430.00,1303
3432.00,1302
3433.00,1301
3434.00,1300
3436.00,1299
3437.00,1298
3439.00,1297
3440.00,1296
3442.00,1295
3443.00,1294
3444.00,1293
3446.00,1292
3447.00,1291
3449.00,1290
3450.00,1289
3452.00,1288
3453.00,1287
3454.00,1286
3456.00,1285
3457.00,1284
3459.00,1283
3460.00,1282
3462.00,1281
3463.00,1280
3464.00,1279
3466.00,1278
3467.00,1277
3469.00,1276
3470.00,1275
3472.00,1274
3473.00,1273
3475.00,1272
3476.00,1271
3477.00,1270
3479.00,1269
3480.00,1268
3482.00,1267
3483.00,1266
3485.00,1265
3486.00,1264
3488.00,1263
3489.00,1262
3490.00,1261
3492.00,1260
3493.00,1259
3495.00,1258
3496.00,1257
3498.00,1256
3499.00,1255
3501.00,1254
3502.00,1253
3503.00,1252
3505.00,1251
3506.00,1250
3508.00,1249
3509.00,1248
3511.00,1247
3512.00,1246
3514.00,1245
3515.00,1244
3517.00,1243
3518.00,1242
3519.00,1241
3521.00,1240
3522.00,1239
3524.00,1238
3525.00,1237
3527.00,1236
3528.00,1235
3530.00,1234
3531.00,1233
3533.00,1232
3534.00,1231
3536.00,1230
3537.00,1229
3538.00,1228
3540.00,1227
3541.00,1226
3543.00,1225
3544.00,1224
3546.00,1223
3547.00,1222
3549.00,1221
3550.00,1220
3552.00,1219
3553.00,1218
3555.00,1217
3556.00,1216
3558.00,1215
3559.00,1214
3561.00,1213
3562.00,1212
3564.00,1211
3565.00,1210
3566.00,1209
3568.00,1208
3569.00,1207
3571.00,1206
3572.00,1205
3574.00,1204
3575.00,1203
3577.00,1202
3578.00,1201
3580.00,1200
3581.00,1199
3583.00,1198
3584.00,1197
3586.00,1196
3587.00,1195
3589.00,1194
3590.00,1193
3592.00,1192
3593.00,1191
3595.00,1190
3596.00,1189
3598.00,1188
3599.00,1187
3601.00,1186
3602.00,1185
3604.00,1184
3605.00,1183
3607.00,1182
3608.00,1181
3610.00,1180
3611.00,1179
3613.00,1178
3614.00,1177
3616.00,1176
3617.00,1175
3619.00,1174
3620.00,1173
3622.00,1172
3623.00,1171
3625.00,1170
3626.00,1169
3628.00,1168
3629.00,1167
3631.00,1166
3632.00,1165
3634.00,1164
3635.00,1163
3637.00,1162
3638.00,1161
3640.00,1160
3641.00,1159
3643.00,1158
3644.00,1157
3646.00,1156
3647.00,1155
3649.00,1154
3650.00,1153
3652.00,1152
3653.00,1151
3655.00,1150
3656.00,1149
3658.00,1148
3659.00,1147
3661.00,1146
3662.00,1145
3664.00,1144
3665.00,1143
3667.00,1142
3668.00,1141
3670.00,1140
3671.00,1139
3673.00,1138
3674.00,1137
3676.00,1136
3678.00,1135
3679.00,1134
3681.00,1133
3682.00,1132
3684.00,1131
3685.00,1130
3687.00,1129
3688.00,1128
3690.00,1127
