mark_seconds,result_score
3454.00,1400
3456.00,1399
3459.00,1398
3462.00,1397
3464.00,1396
3467.00,1395
3470.00,1394
3472.00,1393
3475.00,1392
3477.00,1391
3480.00,1390
3483.00,1389
3485.00,1388
3488.00,1387
3491.00,1386
3493.00,1385
3496.00,1384
3499.00,1383
3501.00,1382
3504.00,1381
3506.00,1380
3509.00,1379
3512.00,1378
3514.00,1377
3517.00,1376
3520.00,1375
3522.00,1374
3525.00,1373
3528.00,1372
3530.00,1371
3533.00,1370
3536.00,1369
3538.00,1368
3541.00,1367
3544.00,1366
3546.00,1365
3549.00,1364
3552.00,1363
3554.00,1362
3557.00,1361
3560.00,1360
3562.00,1359
3565.00,1358
3568.00,1357
3570.00,1356
3573.00,1355
3576.00,1354
3578.00,1353
3581.00,1352
3584.00,1351
3586.00,1350
3589.00,1349
3592.00,1348
3594.00,1347
3597.00,1346
3600.00,1345
3602.00,1344
3605.00,1343
3608.00,1342
3610.00,1341
3613.00,1340
3616.00,1339
3618.00,1338
3621.00,1337
3624.00,1336
3626.00,1335
3629.00,1334
3632.00,1333
3634.00,1332
3637.00,1331
3640.00,1330
3642.00,1329
3645.00,1328
3648.00,1327
3651.00,1326
3653.00,1325
3656.00,1324
3659.00,1323
3661.00,1322
3664.00,1321
3667.00,1320
3669.00,1319
3672.00,1318
3675.00,1317
3678.00,1316
3680.00,1315
3683.00,1314
3686.00,1313
3688.00,1312
3691.00,1311
3694.00,1310
3697.00,1309
3699.00,1308
3702.00,1307
3705.00,1306
3707.00,1305
3710.00,1304
3713.00,1303
3716.00,1302
3718.00,1301
3721.00,1300
3724.00,1299
3726.00,1298
3729.00,1297
3732.00,1296
3735.00,1295
3737.00,1294
3740.00,1293
3743.00,1292
3746.00,1291
3748.00,1290
3751.00,1289
3754.00,1288
3756.00,1287
3759.00,1286
3762.00,1285
3765.00,1284
3767.00,1283
3770.00,1282
3773.00,1281
3776.00,1280
3778.00,1279
3781.00,1278
3784.00,1277
3787.00,1276
3789.00,1275
3792.00,1274
3795.00,1273
3798.00,1272
3800.00,1271
3803.00,1270
3806.00,1269
3809.00,1268
3811.00,1267
3814.00,1266
3817.00,1265
3820.00,1264
3822.00,1263
3825.00,1262
3828.00,1261
3831.00,1260
3833.00,1259
3836.00,1258
3839.00,1257
3842.00,1256
3845.00,1255
3847.00,1254
3850.00,1253
3853.00,1252
3856.00,1251
3858.00,1250
3861.00,1249
3864.00,1248
3867.00,1247
3870.00,1246
3872.00,1245
3875.00,1244
3878.00,1243
3881.00,1242
3883.00,1241
3886.00,1240
3889.00,1239
3892.00,1238
