mark_seconds,result_score
6974.00,1400
6977.00,1399
6981.00,1398
6984.00,1397
6987.00,1396
6991.00,1395
6994.00,1394
6997.00,1393
7001.00,1392
7004.00,1391
7007.00,1390
7011.00,1389
7014.00,1388
7017.00,1387
7020.00,1386
7024.00,1385
7027.00,1384
7030.00,1383
7034.00,1382
7037.00,1381
7040.00,1380
7044.00,1379
7047.00,1378
7050.00,1377
7054.00,1376
7057.00,1375
7060.00,1374
7064.00,1373
7067.00,1372
7070.00,1371
7074.00,1370
7077.00,1369
7080.00,1368
7084.00,1367
7087.00,1366
7090.00,1365
7094.00,1364
7097.00,1363
7100.00,1362
7104.00,1361
7107.00,1360
7110.00,1359
7114.00,1358
7117.00,1357
7120.00,1356
7124.00,1355
7127.00,1354
7130.00,1353
7134.00,1352
7137.00,1351
7140.00,1350
7144.00,1349
7147.00,1348
7150.00,1347
7154.00,1346
7157.00,1345
7161.00,1344
7164.00,1343
7167.00,1342
7171.00,1341
7174.00,1340
7177.00,1339
7181.00,1338
7184.00,1337
7188.00,1336
7191.00,1335
7194.00,1334
7198.00,1333
7201.00,1332
7204.00,1331
7208.00,1330
7211.00,1329
7215.00,1328
7218.00,1327
7221.00,1326
7225.00,1325
7228.00,1324
7231.00,1323
7235.00,1322
7238.00,1321
7242.00,1320
7245.00,1319
7248.00,1318
7252.00,1317
7255.00,1316
7259.00,1315
7262.00,1314
7265.00,1313
7269.00,1312
7272.00,1311
7276.00,1310
7279.00,1309
7282.00,1308
7286.00,1307
7289.00,1306
7293.00,1305
7296.00,1304
7300.00,1303
7303.00,1302
7306.00,1301
7310.00,1300
7313.00,1299
7317.00,1298
7320.00,1297
7323.00,1296
7327.00,1295
7330.00,1294
7334.00,1293
7337.00,1292
7341.00,1291
7344.00,1290
7347.00,1289
7351.00,1288
7354.00,1287
7358.00,1286
7361.00,1285
7365.00,1284
7368.00,1283
7372.00,1282
7375.00,1281
7378.00,1280
7382.00,1279
7385.00,1278
7389.00,1277
7392.00,1276
7396.00,1275
7399.00,1274
7403.00,1273
7406.00,1272
7409.00,1271
7413.00,1270
7416.00,1269
7420.00,1268
7423.00,1267
7427.00,1266
7430.00,1265
7434.00,1264
7437.00,1263
7441.00,1262
7444.00,1261
7448.00,1260
7451.00,1259
7455.00,1258
7458.00,1257
7462.00,1256
7465.00,1255
7468.00,1254
7472.00,1253
7475.00,1252
7479.00,1251
7482.00,1250
7486.00,1249
7489.00,1248
7493.00,1247
7496.00,1246
7500.00,1245
7503.00,1244
7507.00,1243
7510.00,1242
7514.00,1241
7517.00,1240
7521.00,1239
7524.00,1238
7528.00,1237
7531.00,1236
7535.00,1235
7538.00,1234
7542.00,1233
7545.00,1232
7549.00,1231
7552.00,1230
7556.00,1229
7559.00,1228
7563.00,1227
7566.00,1226
7570.00,1225
7574.00,1224
7577.00,1223
7581.00,1222
7584.00,1221
7588.00,1220
7591.00,1219
7595.00,1218
7598.00,1217
7602.00,1216
7605.00,1215
7609.00,1214
7612.00,1213
7616.00,1212
7619.00,1211
7623.00,1210
7627.00,1209
7630.00,1208
7634.00,1207
7637.00,1206
7641.00,1205
7644.00,1204
7648.00,1203
7651.00,1202
7655.00,1201
7659.00,1200
7662.00,1199
7666.00,1198
7669.00,1197
7673.00,1196
7676.00,1195
7680.00,1194
7683.00,1193
7687.00,1192
7691.00,1191
7694.00,1190
7698.00,1189
7701.00,1188
7705.00,1187
7708.00,1186
7712.00,1185
7716.00,1184
7719.00,1183
7723.00,1182
7726.00,1181
7730.00,1180
7734.00,1179
7737.00,1178
7741.00,1177
7744.00,1176
7748.00,1175
7752.00,1174
7755.00,1173
7759.00,1172
7762.00,1171
7766.00,1170
7770.00,1169
7773.00,1168
7777.00,1167
7780.00,1166
7784.00,1165
7788.00,1164
7791.00,1163
7795.00,1162
7798.00,1161
7802.00,1160
7806.00,1159
7809.00,1158
7813.00,1157
7817.00,1156
7820.00,1155
7824.00,1154
7827.00,1153
7831.00,1152
7835.00,1151
7838.00,1150
7842.00,1149
7846.00,1148
7849.00,1147
7853.00,1146
7857.00,1145
7860.00,1144
7864.00,1143
7867.00,1142
7871.00,1141
